#mip results PROTO15
#layer chip channel mpv empv widthmpv chi2ndf nentries
0 2 1 70.3561 2.13143 24.1371 0 1731
0 2 2 59.6418 1.57511 21.737 0 1686
0 2 3 59.0818 1.59468 18.9147 0 1548
0 2 4 63.875 2.03055 23.8673 0 1435
0 2 5 72.9022 1.84435 20.7148 0 1473
0 2 6 73.2507 2.07334 21.0034 0 1606
0 2 7 60.4395 1.44723 20.9637 0 1670
0 2 8 63.2978 1.76729 21.914 0 1718
0 2 9 61.5936 1.70984 20.0412 0 1647
0 2 10 62.5231 1.7001 18.9277 0 1607
0 2 11 63.1252 1.95195 22.3826 0 1730
0 2 12 71.4789 1.95675 21.9966 0 1482
0 2 13 68.8964 1.74053 19.9058 0 1336
0 2 14 73.1165 2.07093 22.0701 0 1467
0 2 15 69.2704 1.91778 21.6349 0 1431
0 2 16 62.0881 1.57178 19.9646 0 1728
0 2 17 70.8979 1.64481 19.3267 0 1393
0 2 18 72.0808 2.12277 21.9289 0 1461
0 2 19 72.9351 2.15606 22.7279 0 1524
0 2 20 64.9141 1.84565 21.2244 0 1572
0 2 21 67.303 1.43997 19.765 0 1421
0 2 22 69.5176 1.63095 18.6259 0 1390
0 2 23 66.6235 2.02913 20.9709 0 1436
0 2 24 70.6754 1.89896 23.1839 0 1369
0 2 25 71.0043 1.93019 24.296 0 1515
0 2 26 58.2504 1.60662 21.1829 0 1562
0 2 27 65.8 2.44269 22.9963 0 1496
0 2 28 58.5222 1.81165 23.2435 0 1489
0 2 29 62.702 2.0244 23.8204 0 1473
0 2 30 73.7693 1.9843 21.315 0 1450
0 2 31 69.3995 1.66364 20.7749 0 1409
0 2 32 69.8295 1.98427 22.9965 0 1352
0 2 33 62.6261 1.96166 21.3725 0 1442
0 2 34 61.0513 1.77051 20.2423 0 1409
0 2 35 65.4871 1.92038 19.7981 0 1554
0 2 36 64.5527 1.99133 23.2026 0 1541
0 2 37 59.537 1.67239 21.7676 0 1503
0 2 38 62.4805 1.68154 20.0461 0 1613
0 2 39 66.7454 1.72824 16.8379 0 1417
0 2 40 62.5927 1.64226 21.9069 0 1449
0 2 41 59.4499 1.45186 16.1502 0 1532
0 2 42 70.061 1.84732 19.504 0 1585
0 2 43 66.8706 1.76566 20.4482 0 1401
0 2 44 60.1677 1.42483 18.7976 0 1484
0 2 45 64.7076 1.89292 21.2949 0 1519
0 2 46 63.803 2.1204 20.1162 0 1492
0 2 47 61.4136 1.48175 17.3812 0 1472
0 2 48 64.3304 1.90644 21.0294 0 1524
0 2 49 71.4544 2.20601 21.6365 0 1411
0 2 50 72.2888 1.78671 20.1161 0 1483
0 2 51 67.6696 1.80333 22.1827 0 1353
0 2 52 61.6383 1.60078 17.9639 0 1406
0 2 53 60.1355 1.73604 20.6924 0 1514
0 2 54 70.0073 1.96417 21.5159 0 1374
0 2 55 65.9804 2.0495 24.3654 0 1646
0 2 56 54.5851 2.12361 17.9733 0 1495
0 2 57 58.4054 1.3523 18.5327 0 1405
0 2 58 63.3029 1.87609 21.099 0 1447
0 2 59 66.9972 1.99324 20.5909 0 1474
0 2 60 68.0846 1.51107 13.8469 0 1285
0 2 61 63.3415 1.97002 23.2498 0 1553
0 2 62 61.7675 1.68085 21.241 0 1562
0 2 63 65.2347 1.62116 20.4457 0 1350
0 3 0 67.2032 2.21923 25.8617 0 1582
0 3 1 69.4297 2.19853 22.9558 0 1442
0 3 2 68.3114 1.97822 20.5041 0 1486
0 3 3 64.4396 1.90933 20.6241 0 1558
0 3 4 64.0374 2.01788 20.149 0 1551
0 3 5 68.272 1.56884 20.2163 0 1421
0 3 6 65.7031 1.89804 20.81 0 1468
0 3 7 63.098 1.76735 20.9168 0 1592
0 3 8 64.7716 1.80577 21.9035 0 1503
0 3 9 74.8604 1.9916 20.6474 0 1526
0 3 10 70.8635 1.67443 19.9484 0 1391
0 3 11 61.8813 1.64464 18.781 0 1502
0 3 12 70.112 1.87262 21.8987 0 1431
0 3 13 75.2575 2.05201 22.5444 0 1470
0 3 14 71.1652 1.83165 19.089 0 1427
0 3 15 74.2693 2.0003 21.0842 0 1369
0 3 16 65.6456 1.70434 20.157 0 1538
0 3 17 65.6419 1.92037 21.5944 0 1478
0 3 18 63.305 1.63382 19.8052 0 1550
0 3 19 72.8016 1.9698 23.3615 0 1407
0 3 20 60.7602 1.69322 21.2474 0 1497
0 3 21 75.715 2.30349 23.2952 0 1375
0 3 22 64.4404 1.85101 22.5766 0 1526
0 3 23 76.0417 2.24142 23.1564 0 1486
0 3 24 66.3701 2.23411 25.7277 0 1476
0 3 25 68.4733 1.68213 21.0699 0 1445
0 3 26 75.2127 2.08741 21.3589 0 1399
0 3 27 62.1618 1.8754 23.3264 0 1527
0 3 28 73.9678 1.76344 20.7317 0 1391
0 3 29 66.0407 2.21977 20.9271 0 1495
