#mip results dif_1_1_3
#chip channel mpv empv widthmpv chi2ndf nentries
0 0 0 0 0 0 0
0 1 64.7444 1.0598 9.31377 1.09269 635
0 2 67.2452 1.06376 8.31941 0.952488 545
0 3 66.2953 1.25251 9.07709 0.656962 396
0 4 61.1245 1.03589 8.12429 0.834826 469
0 5 60.5314 1.15563 6.49668 1.20211 447
0 6 58.4727 2.33126 13.2798 0.950274 353
0 7 57.2436 1.75616 9.39772 0.733231 307
0 8 60.8641 0.948961 7.81809 0.912014 511
0 9 56.9536 1.11407 7.26815 0.743533 391
0 10 60.7084 1.02173 8.54906 0.921944 602
0 11 58.3405 1.3743 7.86921 0.850968 347
0 12 59.8398 1.36083 8.29652 1.03877 422
0 13 63.6314 2.31723 12.8207 0.796943 375
0 14 61.184 4.40102 19.2852 0.808937 298
0 15 60.851 1.22898 7.55646 0.821709 371
0 16 0 0 0 0 0
0 17 60.7711 0.635904 6.10294 0.735053 612
0 18 67.8295 1.74201 11.0056 0.895992 428
0 19 61.4716 1.59061 9.10035 0.990045 363
0 20 66.0662 1.02496 8.58223 0.751305 524
0 21 68.5739 3.41135 18.4805 0.957756 419
0 22 60.3655 1.15582 7.25203 0.725762 395
0 23 65.1821 1.14437 9.56345 1.11983 611
0 24 59.195 0.787691 7.007 0.863712 607
0 25 63.9601 1.58281 9.73862 0.897077 352
0 26 59.16 0.596519 6.69686 0.862036 842
0 27 60.9541 1.45894 10.0787 0.670023 413
0 28 59.5501 0.991822 6.39615 0.85762 368
0 29 63.5164 0.84142 7.87839 1.32571 701
0 30 58.998 0.92419 6.79468 1.13912 462
0 31 61.0799 1.60015 10.5737 1.17881 443
0 32 61.7718 1.24323 8.19775 0.644836 380
0 33 61.0622 1.25965 8.17642 0.742259 379
0 34 57.9151 0.59716 6.01219 1.06452 737
0 35 60.4904 1.35694 9.30642 0.975841 415
0 36 61.5851 1.03464 7.83781 0.999692 484
0 37 0 0 0 0 0
0 38 59.6358 0.971797 7.39042 0.678061 464
0 39 56.6982 0.778898 6.55139 1.20357 551
0 40 0 0 0 0 0
0 41 59.2452 1.0122 6.77227 0.79101 413
0 42 61.3995 1.09539 8.86639 0.937978 604
0 43 57.9568 0.608202 5.66631 1.10032 649
0 44 61.395 1.28264 8.97239 0.863359 442
0 45 58.0684 0.903438 5.99044 0.810582 414
0 46 60.2924 3.89951 14.2131 0.771632 212
0 47 59.4144 1.47497 10.6023 1.00423 492
0 48 59.9797 1.04741 8.3233 0.964995 495
0 49 58.697 0.85464 7.31312 1.21707 625
0 50 57.6165 0.812135 5.94261 0.939339 439
0 51 58.6028 0.733742 7.78995 1.18249 831
0 52 55.777 0.866368 7.79955 1.08628 697
0 53 28.8686 158.245 40.384 0.505032 126
0 54 64.3483 4.47682 12.3222 0.347828 116
0 55 6.61406e-08 231.454 42.9213 0.50021 232
0 56 64.0386 4.73101 15.3658 0.495726 180
0 57 59.2815 0.672545 6.45773 0.871867 739
0 58 57.6485 0.768125 7.13003 0.809298 604
0 59 58.3988 6.64053 18.9742 0.626171 274
0 60 0.000399763 287.194 28.2038 0.44344 143
0 61 64.1816 3.76601 18.9336 0.861864 347
0 62 60.3415 2.75955 14.1995 0.716006 305
0 63 42.3438 74.0001 21.6013 0.507796 204
1 0 56.1083 0.76695 8.39731 1.24202 902
1 1 57.2976 0.588199 6.7646 1.20069 1032
1 2 56.7699 0.577657 5.14645 1.22729 1024
1 3 62.4978 0.555318 6.92178 1.04677 1215
1 4 65.0619 0.195368 0.538582 1.60492 838
1 5 57.247 0.58859 6.68481 0.979112 1000
1 6 56.7625 0.491734 6.07258 1.15423 1212
1 7 38.8917 0.441878 6.20711 1.26812 1304
1 8 65.8835 0.6529 7.12391 0.988469 892
1 9 65.4045 0.580749 6.80183 1.2717 1267
1 10 64.7093 0.688394 8.9112 1.62122 1372
1 11 56.6513 0.628227 5.77629 0.988915 824
1 12 60.0061 0.555567 6.44705 1.1967 1118
1 13 62.3789 0.455099 5.08363 1.49087 1149
1 14 55.6849 0.488278 4.97445 1.28509 871
1 15 62.1367 0.554698 6.42156 1.15049 1074
1 16 65.0537 0.681802 10.2351 0.940828 1563
1 17 56.8336 0.505759 5.28527 1.01309 893
1 18 61.2334 0.508154 4.67151 1.06973 919
1 19 54.705 0.475381 6.20592 1.40311 1304
1 20 60.69 0.577109 5.18458 1.16296 789
1 21 65.8321 0.575071 7.0026 1.34061 1259
1 22 62.7963 0.547928 7.1506 1.28275 1262
1 23 58.7725 0.574697 5.1369 0.978198 835
1 24 56.1622 0.567207 5.86588 0.982477 817
1 25 39.0699 0.439092 5.85876 1.39762 1190
1 26 55.5752 0.558168 5.77033 1.35601 858
1 27 61.955 0.572703 6.22329 1.39315 969
1 28 58.0841 0.504929 5.62085 1.26746 1184
1 29 56.5959 0.563808 5.13916 0.90787 857
1 30 61.5215 0.65263 6.36994 1.20663 856
1 31 21.931 16.896 9.16236 1.21304 756
1 32 37.0799 0.398472 4.09974 1.06208 886
1 33 35.9546 0.832045 3.96783 0.835505 208
1 34 57.0364 0.627352 6.57494 1.0641 751
1 35 36.6569 0.364587 4.3285 1.24021 1002
1 36 46.7729 0.598818 6.01712 1.06199 785
1 37 0 0 0 0 0
1 38 34.9328 1.13981 7.10456 0.790698 336
1 39 0 0 0 0 0
1 40 61.37 0.59638 4.58023 0.886635 779
1 41 47.6172 0.554911 5.50643 1.29504 926
1 42 59.5392 0.664 4.35764 0.980795 747
1 43 57.659 0.74805 5.03544 0.68744 723
1 44 0 0 0 0 0
1 45 0 0 0 0 0
1 46 0 0 0 0 0
1 47 0 0 0 0 0
1 48 57.4944 0.56735 4.80246 1.2401 783
1 49 0 0 0 0 0
1 50 51.8304 0.603281 6.13085 1.18833 788
1 51 52.8237 1.14265 1.65162 1.27539 869
1 52 66.3126 0.730943 5.00811 1.0411 689
1 53 34.0208 1.18052 4.77638 0.644362 167
1 54 61.374 0.617439 6.17931 0.947233 757
1 55 58.9989 0.491371 4.32202 1.26929 745
1 56 37.1321 2.66049 18.6198 1.36926 782
1 57 33.0572 0.888717 6.10677 0.984483 417
1 58 59.8391 0.678167 6.28026 1.26995 746
1 59 41.9462 0.465583 4.76642 0.993176 688
1 60 32.3659 2.30609 8.92118 0.871312 203
1 61 0 0 0 0 0
1 62 35.9737 2.47327 13.5196 0.90186 410
1 63 61.7206 0.875137 7.58142 0.976866 672
2 0 55.756 0.574184 6.55263 1.15363 932
2 1 55.8959 0.631401 6.26578 0.740775 752
2 2 63.8745 1.09211 9.88803 0.839368 624
2 3 57.6887 1.50969 9.18427 1.04913 421
2 4 58.3805 1.07269 7.40515 0.883186 490
2 5 64.9527 2.0938 14.5702 1.12555 526
2 6 58.3575 1.15791 7.98519 0.81625 471
2 7 58.8271 1.28227 8.81554 0.575588 377
2 8 58.9016 0.795583 7.08435 0.95088 613
2 9 55.8172 0.99716 6.26453 0.85993 429
2 10 55.7789 0.936049 6.43651 0.744351 401
2 11 57.5142 0.642667 5.84773 1.11238 635
2 12 59.6475 1.46857 9.73576 0.823355 415
2 13 56.989 0.978374 6.49197 0.814887 407
2 14 56.3796 0.616756 6.45937 1.72084 855
2 15 59.6504 1.12582 8.2748 1.05331 448
2 16 61.2239 1.64137 10.5131 0.782363 370
2 17 58.4443 0.590593 5.71704 1.34904 727
2 18 59.3121 1.11117 7.84403 1.00727 463
2 19 61.8884 2.09082 13.0129 0.608807 354
2 20 59.3682 0.707707 6.01119 1.11385 592
2 21 59.1647 0.95185 6.70818 0.795303 420
2 22 56.6062 1.0192 7.21887 0.624111 420
2 23 58.9705 0.777664 7.80359 0.930145 682
2 24 57.3459 0.609718 6.21257 0.916478 724
2 25 59.5111 1.51239 9.57254 0.996974 389
2 26 57.7718 0.562606 6.59147 1.2183 935
2 27 56.9771 0.772366 5.77227 0.861257 405
2 28 60.7304 0.955811 6.87235 1.0096 448
2 29 58.626 0.766751 7.71174 1.11258 769
2 30 60.5982 1.35162 9.35161 1.16424 450
2 31 58.114 1.31294 9.31859 0.734531 423
2 32 59.1825 0.959023 7.15175 0.927691 468
2 33 65.906 1.76049 11.8226 0.768061 419
2 34 57.841 0.666132 7.63425 1.27236 922
2 35 63.5446 1.2317 8.22805 0.726025 462
2 36 59.2724 0.97446 7.64584 0.858381 472
2 37 0 0 0 0 0
2 38 58.9082 1.12436 8.18955 1.01121 472
2 39 60.3831 0.980173 7.9939 1.16154 595
2 40 56.0961 0.878073 7.08341 1.33301 621
2 41 57.5323 0.787791 5.28519 0.990352 410
2 42 60.4435 0.836391 7.21632 0.86285 588
2 43 57.4098 0.623013 6.49788 0.993859 793
2 44 59.4973 1.0917 7.45164 1.30534 459
2 45 60.918 1.28406 8.97449 0.764009 421
2 46 59.139 0.709275 8.38345 1.00581 935
2 47 63.3198 0.863487 6.95961 0.858537 514
2 48 61.6348 2.76379 11.9405 0.390793 177
2 49 58.6994 0.663108 6.48248 0.908356 686
2 50 58.7391 1.33655 9.98188 0.885825 470
2 51 60.5316 0.670757 8.07338 1.4221 1049
2 52 59.1108 0.581601 6.14313 1.12408 806
2 53 50.9363 5.61876 13.568 0.486785 155
2 54 60.8212 2.50184 10.4091 0.646545 208
2 55 58.8401 0.782943 8.46763 1.19326 872
2 56 63.8962 1.80144 9.98546 0.789535 318
2 57 58.7163 0.720617 7.9256 1.04287 848
2 58 63.7106 2.95753 13.4876 0.64439 222
2 59 59.2996 5.23177 19.161 1.0138 379
2 60 60.8314 2.24813 10.6097 0.44335 208
2 61 59.6338 1.21223 8.57119 0.952214 470
2 62 61.2247 1.12185 7.52863 0.728519 393
2 63 65.7197 2.83969 14.5412 0.552495 255
3 0 67.5571 0.50578 5.93659 1.46788 1268
3 1 62.1877 0.471572 6.61774 1.1726 1425
3 2 59.9917 0.526628 7.92277 1.18902 1432
3 3 0 0 0 0 0
3 4 66.893 0.541216 7.1988 1.05557 1296
3 5 60.075 0.535429 7.8295 1.09354 1372
3 6 64.3617 0.626275 9.69525 0.863699 1563
3 7 61.9657 0.467075 7.41832 1.82911 1837
3 8 62.5977 0.560106 7.59246 1.16262 1242
3 9 63.1361 0.492819 7.67198 1.28099 1728
3 10 63.3192 0.538308 9.14138 1.24046 1935
3 11 59.6385 0.528298 5.46285 1.22746 1172
3 12 61.6286 0.575029 8.00361 1.26503 1321
3 13 61.4478 0.515689 7.0924 1.22282 1444
3 14 59.2754 0.52839 6.73521 0.98255 1115
3 15 62.0983 0.474472 6.6934 1.43487 1390
3 16 67.5653 0.532878 9.55272 1.7624 2196
3 17 58.2386 0.486946 6.22822 1.19019 1170
3 18 61.1678 0.545368 7.37994 1.31208 1357
