#mip results dif_1_1_4
#chip channel mpv empv widthmpv chi2ndf nentries
0 0 0 0 0 0 0
0 1 58.5877 1.08167 6.92372 1.01105 439
0 2 56.3357 1.48568 6.98433 0.997176 394
0 3 70.4883 4.52826 18.6197 0.606899 283
0 4 64.3919 1.98084 11.1073 0.713295 341
0 5 0 0 0 0 0
0 6 51.5389 1.12595 6.32573 0.831772 375
0 7 69.399 2.97525 11.1993 0.664279 282
0 8 63.5548 1.70675 9.34266 0.587959 403
0 9 67.2405 4.16447 17.5162 0.706905 321
0 10 69.3747 4.63125 18.3325 0.605863 301
0 11 66.7314 1.24451 8.64203 0.861351 409
0 12 67.4882 2.07214 9.89857 0.75807 325
0 13 67.125 2.23271 10.3781 0.604031 289
0 14 68.1414 1.02024 7.90844 0.962264 575
0 15 64.5945 6.89633 21.8222 0.708186 329
0 16 0 0 0 0 0
0 17 65.5324 1.11194 7.37497 1.16545 516
0 18 67.4737 2.73347 17.0306 0.780815 360
0 19 54.5749 3.1191 12.9915 0.760097 324
0 20 70.2266 1.12676 6.86493 0.854844 389
0 21 66.4301 3.66527 15.406 0.767989 319
0 22 63.8274 4.33386 15.1227 0.667853 286
0 23 70.4863 1.7287 10.5382 1.10162 467
0 24 70.2239 1.20422 9.17206 0.644236 457
0 25 67.4512 10.6769 22.9521 0.7416 277
0 26 67.5559 1.12048 9.22532 1.10596 656
0 27 69.7707 2.7518 12.4619 0.662648 313
0 28 65.8607 3.451 16.5335 0.910299 304
0 29 67.6806 1.15716 8.83376 1.0636 572
0 30 66.9178 1.7666 9.59093 0.856239 361
0 31 67.6465 1.90789 9.76238 0.579646 306
0 32 68.5428 7.08466 22.4654 0.47491 280
0 33 65.4563 1.89431 11.535 0.647377 325
0 34 65.2241 1.08043 9.29381 0.807395 670
0 35 66.622 3.63995 15.8642 0.852286 350
0 36 67.1893 2.2267 10.4692 0.669902 351
0 37 0 0 0 0 0
0 38 70.0288 2.31492 11.4624 0.725161 329
0 39 63.807 1.6619 10.3319 0.968008 479
0 40 0 0 0 0 0
0 41 64.6102 2.14322 11.0351 0.896041 339
0 42 65.5645 1.25115 8.0434 1.19833 460
0 43 69.1045 1.59556 10.6569 1.04926 537
0 44 66.8601 3.30442 16.188 1.04729 380
0 45 67.1476 2.46042 11.5632 0.864897 351
0 46 66.6727 0.862705 6.93974 1.15347 688
0 47 60.8189 3.65135 16.1406 1.03882 380
0 48 65.7104 1.96521 10.6627 0.751739 384
0 49 67.279 1.75629 11.2026 0.96346 504
0 50 68.0781 1.9422 11.1176 0.623851 369
0 51 68.5762 1.04288 8.34164 1.07666 756
0 52 65.4063 1.00147 8.45605 0.829348 622
0 53 60.2256 1.56955 9.06221 0.854768 380
0 54 65.9402 1.37252 8.95651 0.576119 406
0 55 66.9974 1.57525 12.2176 0.913866 602
0 56 69.2312 1.52681 9.61553 0.923521 494
0 57 62.0723 1.02102 8.66907 0.892107 620
0 58 67.0952 1.38375 9.37262 1.02886 478
0 59 65.8015 1.05569 9.64307 0.883269 732
0 60 62.2019 1.04929 8.31058 0.734389 453
