#mip results dif_1_2_1
#chip channel mpv empv widthmpv chi2ndf nentries
0 0 0 0 0 0 0
0 1 66.0771 0.883364 6.72095 0.772011 441
0 2 68.5513 1.40086 8.13612 0.735861 397
0 3 60.0424 1.16736 4.89564 0.789183 340
0 4 59.4476 1.00789 6.70286 0.700504 340
0 5 62.9959 1.56696 7.69558 0.799819 341
0 6 65.4256 1.78979 10.6991 0.746179 347
0 7 35.2641 0.923832 4.66439 0.545609 209
0 8 66.5002 1.18091 7.05354 0.739665 401
0 9 69.3191 2.8986 12.4901 0.54339 295
0 10 66.0254 2.94404 7.72752 0.639401 287
0 11 60.7335 1.65665 8.3009 1.33407 436
0 12 64.5108 2.15731 11.1739 0.88784 294
0 13 68.7292 3.13371 12.4186 0.678426 254
0 14 62.0625 0.769594 6.02482 0.863817 574
0 15 63.9093 2.72847 11.0407 0.935031 273
0 16 0 0 0 0 0
0 17 63.3143 0.958963 7.05361 0.919959 479
0 18 61.6315 2.11366 9.25863 0.98881 294
0 19 67.68 3.02697 14.3365 0.717005 290
0 20 63.1469 1.23257 7.56793 0.513536 371
0 21 71.0857 2.10277 10.7768 0.620573 325
0 22 67.6208 2.17125 10.0596 0.697452 298
0 23 63.1681 1.30076 8.28823 0.981953 430
0 24 65.2202 0.919434 7.0028 0.904945 472
0 25 61.9632 1.93137 9.23371 0.579774 319
0 26 64.1012 0.863423 6.90737 0.872466 570
0 27 65.2645 3.4865 18.2283 0.740236 308
0 28 66.152 3.09664 12.3586 0.726962 305
0 29 62.8555 0.818535 5.98011 0.860707 522
0 30 65.4106 1.1923 7.46044 0.78248 369
0 31 72.4851 5.26437 19.4499 0.605516 281
0 32 61.6904 1.47103 8.18668 0.744519 314
0 33 65.9396 2.00879 10.9778 0.925801 347
0 34 61.9352 0.823849 6.45622 1.36589 598
0 35 60.0629 1.70368 8.3908 0.732254 325
0 36 61.9864 1.10846 7.21025 0.686446 351
0 37 0 0 0 0 0
0 38 62.0029 2.59157 11.3066 0.943025 348
0 39 59.6016 1.53406 7.47524 0.848566 379
0 40 61.905 1.251 7.88686 1.01012 404
0 41 62.63 1.69488 9.73275 0.720526 364
0 42 60.5486 0.92164 6.45846 0.918115 457
0 43 62.4654 0.727329 6.12776 0.772932 530
0 44 62.782 2.02413 11.3619 0.792155 328
0 45 59.9579 1.60059 8.67025 1.02763 363
0 46 62.2445 0.738646 4.61268 1.11594 611
0 47 60.3389 1.84624 8.71888 1.08975 384
0 48 62.3383 0.972126 5.27057 1.12925 354
0 49 60.0491 0.994196 6.19286 0.801124 437
0 50 64.4016 1.88433 9.21585 0.774856 348
0 51 63.0148 0.952791 8.04211 1.1203 622
0 52 64.7878 1.24664 8.92935 0.920416 517
0 53 59.6471 0.940032 6.26056 0.825259 403
0 54 59.6998 0.994362 6.27104 0.989709 370
0 55 60.8778 0.815117 6.36089 0.914978 519
0 56 58.5857 1.40387 8.41743 0.988697 430
0 57 57.9366 0.891215 6.70009 0.880176 505
0 58 61.9113 1.2265 7.49105 0.957187 396
0 59 61.907 0.851828 6.88213 1.13625 556
0 60 60.017 1.21122 5.58963 0.924073 411
0 61 60.6618 0.583612 6.13619 0.850037 828
0 62 63.15 0.751353 6.97702 1.04774 716
0 63 62.3251 1.22664 7.93964 1.06956 462
1 0 63.2835 0.666027 6.69174 1.08275 878
1 1 64.9644 0.703454 6.27629 0.93408 891
1 2 64.7488 0.713051 6.6958 1.1031 933
1 3 67.3072 0.573117 5.03667 1.17846 1154
1 4 68.0178 0.682605 5.9259 0.921734 780
1 5 66.7442 0.679826 4.85702 0.852627 878
1 6 66.1974 0.54107 6.23833 1.15557 1061
1 7 69.2836 0.557566 7.53379 1.17047 1236
1 8 64.5704 0.716877 5.22435 0.936126 809
1 9 65.2053 0.561265 5.93885 1.19708 1166
1 10 69.4274 0.553255 7.22001 1.32152 1195
1 11 65.3666 0.597377 5.45272 1.03757 779
1 12 68.617 0.572301 5.59542 0.987753 1030
1 13 68.0009 0.538635 6.41467 1.34921 1122
1 14 65.7861 0.633595 6.06047 1.11588 830
1 15 65.786 0.574598 5.84928 0.898707 1036
1 16 69.063 0.676372 9.63954 1.20778 1310
1 17 63.7151 0.672823 5.02065 1.20111 823
1 18 66.3931 0.737739 4.37991 1.15399 845
1 19 69.4101 0.576074 6.17218 1.16169 1115
1 20 66.3781 0.593097 6.03989 0.835771 758
1 21 67.0834 0.584729 7.3317 1.18997 1138
1 22 68.9315 0.640477 5.85506 1.17868 1089
1 23 67.1868 0.865471 8.33942 1.23877 792
1 24 64.3217 0.699827 7.22624 1.25784 803
1 25 66.7627 0.478846 5.72525 1.10118 1113
1 26 67.4445 0.637803 6.94246 1.1634 808
1 27 65.9478 0.652695 6.04455 1.24092 849
1 28 68.0319 0.555564 6.01781 1.19286 969
1 29 64.9424 0.623936 5.53969 1.269 762
1 30 67.6609 0.639776 4.83416 1.10309 778
1 31 69.0227 0.630231 7.16766 1.13952 976
1 32 67.7993 0.573054 5.14316 1.23568 868
1 33 65.6556 0.663325 4.88786 1.28405 778
1 34 64.7028 0.759411 6.08159 0.909858 703
1 35 68.3267 0.752792 6.00528 0.732786 912
1 36 65.8757 0.655608 6.08183 0.880158 783
1 37 0 0 0 0 0
1 38 69.4677 0.687507 7.40584 1.1032 855
1 39 63.7919 0.722196 4.69374 1.11607 708
1 40 67.8826 0.653647 6.75803 0.917123 821
1 41 69.5302 0.703226 7.48863 0.817722 783
1 42 68.7338 0.739099 6.53748 1.13316 707
1 43 62.6579 0.770954 4.38429 1.00004 650
1 44 67.7093 0.682004 5.89492 0.777251 783
1 45 65.7552 0.747757 5.82241 0.687516 849
1 46 65.9616 0.646045 6.03116 0.864311 665
1 47 68.3626 0.712797 6.3742 1.01102 717
1 48 68.8164 0.601712 5.76459 1.24307 807
1 49 0 0 0 0 0
1 50 65.7205 0.71062 6.37303 0.726794 664
1 51 62.5191 0.718137 5.76359 1.12639 660
1 52 68.5353 0.0827751 0.274152 1.34734 628
1 53 66.1859 0.595895 5.99305 0.797644 700
1 54 66.7354 0.654445 5.3932 1.0195 697
1 55 62.92 0.64578 6.7689 0.853952 711
1 56 67.9582 0.774135 7.17603 1.10091 711
1 57 62.8803 0.541284 4.91189 1.13139 752
1 58 64.5634 0.728266 5.96946 1.04586 639
1 59 63.255 0.788777 6.85753 0.893702 685
1 60 66.8412 0.740984 7.03574 0.969386 720
1 61 67.3962 0.775519 6.97266 0.813173 631
1 62 62.4103 0.631559 5.80511 1.17779 661
1 63 62.7797 0.764227 5.69441 1.03602 744
2 0 61.5167 0.663327 6.74911 0.921107 864
2 1 60.7481 0.75565 7.12425 0.575574 670
2 2 59.8225 0.684014 5.66047 1.00692 562
2 3 57.4941 0.950145 6.27467 1.06411 425
2 4 59.6121 0.933807 6.54524 0.867126 439
2 5 59.0816 0.785945 5.85996 1.08857 457
2 6 58.4051 1.03248 7.4158 0.980953 474
2 7 62.5989 1.64029 9.59877 1.07674 400
2 8 58.2664 0.810707 6.67232 0.943089 580
2 9 59.7437 0.77202 4.1004 1.00357 461
2 10 58.0986 1.03432 6.48816 0.705999 397
2 11 59.9374 0.967574 7.39729 0.6295 543
2 12 58.4096 1.21997 6.48375 1.15452 400
2 13 63.7511 1.06648 7.08701 0.8437 434
2 14 63.5318 0.636084 6.81361 1.06017 875
2 15 60.2661 0.835608 4.63132 0.898629 450
2 16 68.6341 1.92008 11.5362 0.868139 403
2 17 61.1554 0.740556 7.04757 1.16518 700
2 18 62.0092 1.54052 7.42454 0.819316 424
2 19 56.3217 1.16453 7.28882 0.793173 391
2 20 60.5968 0.790882 5.98987 0.854275 518
2 21 57.392 0.904951 4.75557 1.22324 453
2 22 61.9789 1.00157 5.0408 1.19316 411
2 23 61.9204 0.778067 6.96318 0.922098 619
2 24 61.5931 0.72399 6.08678 1.28092 675
2 25 60.7127 1.51963 8.94535 0.994209 366
2 26 61.8226 0.650721 6.98376 0.893871 849
2 27 60.353 0.924559 6.25033 0.526409 427
2 28 63.2381 1.25903 7.46988 0.71299 416
2 29 58.0883 0.534558 4.8599 1.30804 704
2 30 60.0626 1.05869 6.42917 0.977771 413
2 31 59.3082 1.5123 9.22078 0.638448 386
2 32 56.5934 0.967087 6.63766 0.945897 426
2 33 61.8812 0.811518 5.43873 0.670354 413
2 34 62.2098 0.689811 6.80986 0.765693 838
2 35 64.8698 1.13877 6.67143 0.987343 429
2 36 63.0206 1.03636 6.98009 1.20416 436
2 37 0 0 0 0 0
2 38 60.7336 1.48671 10.1039 0.847712 441
2 39 65.2014 0.902172 6.17295 0.888466 563
2 40 61.1552 0.93593 7.66635 0.933518 561
2 41 60.69 1.67397 9.4236 1.03392 412
2 42 59.0582 0.75019 6.0092 1.01257 566
2 43 58.4536 0.795822 7.39949 1.26375 719
2 44 61.9893 0.770079 5.79698 0.724209 446
2 45 61.751 1.30527 8.4412 0.628962 420
2 46 61.404 0.669609 6.97083 0.952024 846
2 47 63.7741 0.630273 4.89853 1.17713 500
2 48 59.6092 0.966128 6.36474 0.849711 461
2 49 62.7747 0.727482 5.2257 1.24313 668
2 50 62.6814 1.20406 7.88238 0.914349 422
2 51 63.7658 0.626824 6.16661 1.16242 839
2 52 58.9951 0.767278 6.32744 0.860701 686
2 53 59.26 1.49344 9.65867 0.8695 471
