#mip results dif_1_1_2
#chip channel mpv empv widthmpv chi2ndf nentries
0 0 57.8758 0.14447 4.44542 1.30501 11056
0 1 54.6423 0.16411 4.29815 1.24258 6938
0 2 56.0795 0.180629 4.40722 1.19995 6464
0 3 57.3913 0.163882 4.35014 0.971123 7657
0 4 57.7401 0.220603 6.36844 1.64268 4821
0 5 0 0 0 0 0
0 6 0 0 0 0 0
0 7 0 0 0 0 0
0 8 55.0966 0.188006 4.69297 1.13969 5945
0 9 0 0 0 0 0
0 10 25.361 3.63359 6.2175 1.08677 2542
0 11 56.7457 0.198809 4.39918 0.948658 5053
0 12 57.3608 0.160463 4.9799 1.17301 8018
0 13 57.8905 0.193915 5.1681 1.16458 5583
0 14 57.041 0.143399 4.38975 0.938663 10305
0 15 57.9883 0.181451 4.70169 1.31956 5574
0 16 0 0 0 0 0
0 17 63.4953 0.205764 5.05324 1.01042 5524
0 18 57.7377 0.182761 5.11519 0.996642 6023
0 19 64.8568 0.317628 4.30822 0.753853 2828
0 20 58.7392 0.238538 5.24171 1.20855 4273
0 21 51.2399 0.142676 4.37 0.944202 8444
0 22 0 0 0 0 0
0 23 57.1328 0.199274 4.42961 1.53755 4789
0 24 57.457 0.182298 4.66014 1.23667 6516
0 25 58.5072 0.310762 4.41255 0.830053 2444
0 26 60.3313 0.157132 4.785 0.751008 8966
0 27 58.2099 0.217527 4.89248 0.815962 4058
0 28 57.5991 0.226112 4.76795 1.28253 3839
0 29 60.689 0.201623 4.631 0.885662 5485
0 30 59.3027 0.217589 5.14605 1.41657 4281
0 31 57.0383 0.348525 3.50985 1.09158 2258
0 32 58.3295 0.232281 4.23321 1.51036 4038
0 33 60.9929 0.221111 4.84534 0.944874 4493
0 34 65.1704 0.1618 4.87253 1.24977 9623
0 35 58.3561 0.296122 4.53125 1.0782 2138
0 36 60.8551 0.221095 5.55355 1.01471 4779
0 37 0 0 0 0 0
0 38 58.5691 0.26908 4.94779 1.09987 2851
0 39 64.1457 0.168164 5.03021 1.49811 8823
0 40 64.176 0.218692 5.09161 1.03403 4933
0 41 59.9325 0.247861 5.03482 1.02778 3614
0 42 59.147 0.225341 4.21309 1.00251 4340
0 43 59.1258 0.185354 4.67263 1.15532 6423
0 44 65.4537 0.232741 4.93048 1.27046 4433
0 45 61.0882 0.220597 4.57096 0.937032 4056
0 46 64.7451 0.152316 5.3962 0.900977 10833
0 47 65.2601 0.259628 5.18426 0.889873 4101
0 48 57.9632 0.21326 4.33586 0.938505 4379
0 49 60.9776 0.220821 4.41565 0.844884 5085
0 50 57.2093 0.214624 4.84418 1.21614 4319
0 51 59.7859 0.150234 4.53812 0.777667 10300
0 52 60.433 0.200728 4.37353 1.1715 6010
0 53 57.7847 0.159147 4.4052 1.02635 7560
0 54 59.6619 0.214979 4.68051 1.12921 4977
0 55 59.334 0.180673 4.55152 0.84186 6364
0 56 56.7397 0.157551 4.87455 0.946252 8118
0 57 57.6312 0.144308 4.29309 0.884283 9577
0 58 64.1064 0.20909 4.73883 0.524276 5543
0 59 59.8687 0.153766 4.7258 1.10809 9215
0 60 64.5367 0.176435 4.89742 0.892566 8245
0 61 56.9463 0.121075 4.46701 1.2151 13451
0 62 58.711 0.145264 4.69667 1.14633 9967
0 63 59.3832 0.198068 5.40475 0.966409 5782
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 2 0 0 0 0 0
1 3 0 0 0 0 0
1 4 0 0 0 0 0
1 5 0 0 0 0 0
1 6 0 0 0 0 0
1 7 0 0 0 0 0
1 8 0 0 0 0 0
1 9 0 0 0 0 0
1 10 0 0 0 0 0
1 11 0 0 0 0 0
1 12 0 0 0 0 0
1 13 0 0 0 0 0
1 14 0 0 0 0 0
1 15 0 0 0 0 0
1 16 0 0 0 0 0
1 17 0 0 0 0 0
1 18 0 0 0 0 0
1 19 0 0 0 0 0
1 20 0 0 0 0 0
1 21 0 0 0 0 0
1 22 0 0 0 0 0
1 23 0 0 0 0 0
1 24 0 0 0 0 0
1 25 0 0 0 0 0
1 26 0 0 0 0 0
1 27 0 0 0 0 0
1 28 0 0 0 0 0
1 29 0 0 0 0 0
1 30 0 0 0 0 0
1 31 0 0 0 0 0
1 32 0 0 0 0 0
1 33 0 0 0 0 0
1 34 0 0 0 0 0
1 35 0 0 0 0 0
1 36 0 0 0 0 0
1 37 0 0 0 0 0
1 38 0 0 0 0 0
1 39 0 0 0 0 0
1 40 0 0 0 0 0
1 41 0 0 0 0 0
1 42 0 0 0 0 0
1 43 0 0 0 0 0
1 44 0 0 0 0 0
1 45 0 0 0 0 0
1 46 0 0 0 0 0
1 47 0 0 0 0 0
1 48 0 0 0 0 0
1 49 0 0 0 0 0
1 50 0 0 0 0 0
1 51 0 0 0 0 0
1 52 0 0 0 0 0
1 53 0 0 0 0 0
1 54 0 0 0 0 0
1 55 0 0 0 0 0
1 56 0 0 0 0 0
1 57 0 0 0 0 0
1 58 0 0 0 0 0
1 59 0 0 0 0 0
1 60 0 0 0 0 0
1 61 0 0 0 0 0
1 62 0 0 0 0 0
1 63 0 0 0 0 0
2 0 57.2647 0.130133 4.60322 1.22959 12154
2 1 56.9595 0.166939 4.46293 1.23552 7926
2 2 56.6325 0.159348 4.52483 0.889127 7407
2 3 0 0 0 0 0
2 4 58.4105 0.229984 4.37835 1.04071 4522
2 5 58.4045 0.194207 4.62075 0.764475 5342
2 6 57.1699 0.18321 4.58525 1.19186 6316
2 7 56.2008 0.288473 4.3943 1.20025 2834
2 8 63.6865 0.199001 5.17718 0.677582 6078
2 9 63.6001 0.19942 4.65522 0.743584 6573
2 10 64.0753 0.203257 4.33893 1.08424 6312
2 11 57.9445 0.208607 4.79245 1.27548 4800
2 12 63.4908 0.204154 4.94814 1.02751 5916
2 13 59.1206 0.248841 4.48753 0.855234 3844
2 14 56.9349 0.140068 4.51084 1.04946 10165
2 15 64.1453 0.250447 5.10852 0.716408 4048
2 16 58.9923 0.257477 4.65198 0.90777 3352
2 17 59.0948 0.208278 6.73229 2.48275 5811
2 18 59.7529 0.228755 4.4685 1.24859 4395
2 19 58.0442 0.310331 4.27561 1.38095 2549
2 20 64.1506 0.22485 4.60557 1.10817 5030
2 21 59.7667 0.168608 4.62079 0.839289 7296
2 22 64.1666 0.222171 4.60412 0.932358 5042
2 23 57.4258 0.184346 4.32644 0.875675 6073
2 24 57.9327 0.179736 4.40963 0.923964 6731
2 25 64.2428 0.313297 4.74085 1.32856 2538
2 26 64.6926 0.15716 5.17119 1.34922 10322
2 27 64.4651 0.226565 4.94676 1.37079 4646
2 28 56.6953 0.20692 4.62976 0.831473 4324
2 29 64.5405 0.181889 5.04337 0.941282 7005
2 30 58.2513 0.229626 4.10116 1.16907 5004
2 31 58.8472 0.283373 4.39112 0.793403 2330
2 32 65.0376 0.247731 5.00089 1.15773 3956
2 33 58.0405 0.21888 4.17527 0.692089 4147
2 34 63.9601 0.140934 4.67036 0.755341 12006
2 35 64.7269 0.338057 4.11112 1.11149 2500
2 36 59.6912 0.210423 4.61655 1.27502 4745
2 37 0 0 0 0 0
2 38 64.0689 0.276696 4.9202 1.13977 3101
2 39 57.3678 0.167396 4.54243 0.857004 7049
2 40 59.8317 0.22274 4.88039 1.06151 4548
2 41 59.4781 0.254105 5.23486 0.682035 3561
2 42 64.2158 0.225353 5.15213 0.908762 4726
2 43 59.6194 0.172635 4.63838 1.10123 6240
2 44 58.5486 0.204898 4.77632 1.36942 4866
2 45 59.8048 0.227217 4.56686 1.06231 3902
2 46 59.609 0.138502 4.68897 0.878042 10767
2 47 54.7218 0.280132 3.91619 1.5121 3318
2 48 57.0755 0.214071 4.63406 0.988329 4204
2 49 59.3693 0.207958 5.08286 0.881322 4839
2 50 63.9167 0.219943 4.72986 1.50053 5334
2 51 57.705 0.161531 4.50108 1.30922 8529
2 52 59.8127 0.196607 5.37579 1.45536 5799
2 53 57.3292 0.194128 4.15044 0.532393 6053
2 54 59.1002 0.193989 4.69139 0.927826 5715
2 55 63.4492 0.17651 4.80284 0.964955 7442
2 56 63.0419 0.201006 4.40283 1.49163 6623
2 57 58.4961 0.165825 4.57997 1.07202 8261
2 58 59.3648 0.196744 4.86012 0.683689 5608
2 59 62.9404 0.151785 5.21174 1.08102 10080
2 60 62.9637 0.193062 4.77781 1.14809 6507
2 61 58.6087 0.127517 4.61502 0.877211 13219
2 62 58.7959 0.136326 4.84702 1.36721 11690
2 63 59.479 0.185529 4.94086 1.00584 6636
3 0 64.1984 0.172684 4.59117 0.896868 9168
3 1 59.1481 0.168182 4.54301 0.881975 8744
3 2 63.909 0.168479 5.44601 0.783915 8880
3 3 59.6429 0.175489 4.25062 1.16617 7373
3 4 64.3702 0.2254 5.25178 0.931526 5311
3 5 64.0916 0.191458 5.29406 1.40379 6701
3 6 59.2424 0.16619 5.05562 1.12787 8164
3 7 59.2639 0.129313 5.04147 0.891645 13845
3 8 64.5332 0.189182 4.86094 1.31905 7268
3 9 63.0903 0.162363 5.22221 1.05203 9344
3 10 0 0 0 0 0
3 11 63.3783 0.211084 5.09459 0.910438 5540
3 12 60.7281 0.179854 4.65186 0.893065 7173
3 13 58.8546 0.176588 4.8047 1.4609 7433
3 14 59.384 0.17123 4.53539 0.842391 7838
3 15 56.4389 0.196527 4.97467 1.07737 5228
3 16 58.0529 0.116129 4.48425 1.03347 16238
3 17 62.0595 0.211791 5.42276 1.23616 5539
3 18 63.7997 0.222742 5.13738 0.918743 5240
3 19 59.549 0.141872 4.877 1.13473 10839
3 20 60.2288 0.215972 4.65542 1.1414 5488
3 21 59.8433 0.154181 4.93723 1.07459 8950
3 22 60.8165 0.151281 4.80593 1.50693 9705
3 23 57.3837 0.192482 4.62951 1.00663 5969
3 24 60.5133 0.180923 4.8787 0.980642 7080
3 25 63.5621 0.15649 5.36649 0.848866 10917
3 26 64.1852 0.190027 5.3874 1.08657 6750
3 27 65.192 0.203705 4.72273 0.856393 5586
3 28 62.8152 0.182676 5.39969 1.36585 7724
3 29 53.8235 0.19389 4.74267 1.24026 5946
3 30 60.8812 0.222587 5.01031 1.048 5213
3 31 60.505 0.135164 4.85618 1.1249 12439
3 32 56.9681 0.162352 5.15306 1.22562 8067
3 33 60.0102 0.194478 4.67256 1.19887 6039
3 34 59.9614 0.18726 4.66342 0.74399 6917
3 35 57.5963 0.141714 4.58795 1.16299 10603
3 36 58.6992 0.203243 4.09966 0.88053 5737
3 37 0 0 0 0 0
3 38 60.547 0.137637 5.10886 0.935744 11850
3 39 58.391 0.162889 4.79305 1.10785 7837
3 40 0 0 0 0 0
3 41 58.7 0.167868 4.66943 0.968739 7311
3 42 58.4713 0.197978 4.89777 1.34321 5162
3 43 64.3821 0.195939 4.90163 0.686643 6885
3 44 61.0548 0.153288 4.68992 1.21197 8896
3 45 61.0434 0.207319 4.8504 0.938906 5249
3 46 56.6215 0.160669 4.99966 1.55732 7918
3 47 57.6559 0.120832 4.41107 0.927436 14524
3 48 58.8735 0.208726 4.22994 1.44821 5243
3 49 59.7109 0.201738 4.39178 0.995528 5670
3 50 58.9603 0.177507 4.783 0.924593 6529
3 51 57.5008 0.158003 4.73889 0.773298 8316
