#mip results dif_1_2_1
#chip channel mpv empv widthmpv chi2ndf nentries
0 0 65.5136 0.167054 5.92482 1.13908 10248
0 1 64.8681 0.215101 5.60299 1.01457 6296
0 2 65.9057 0.243436 6.01656 0.991488 5201
0 3 61.0331 0.205122 5.45088 1.59624 5700
0 4 60.632 0.243044 7.13905 1.26297 5022
0 5 0 0 0 0 0
0 6 65.128 0.253293 6.05651 0.890129 4754
0 7 58.7635 0.296126 4.96116 1.02764 2950
0 8 65.7529 0.209472 5.32077 1.24869 6556
0 9 65.2314 0.252584 4.91977 1.28943 4771
0 10 65.2609 0.26504 5.1754 1.22966 4428
0 11 60.6232 0.222066 5.27954 1.15087 5634
0 12 61.8627 0.198877 5.38076 1.03781 6291
0 13 61.5805 0.242981 5.6958 1.1941 4566
0 14 62.8218 0.148483 5.23068 1.33865 11847
0 15 61.2517 0.22162 5.49841 0.951382 4958
0 16 65.1981 0.327217 5.39777 0.747676 2775
0 17 61.7989 0.203499 5.44584 0.869845 6468
0 18 60.1168 0.206711 6.3312 1.82493 5416
0 19 64.0712 0.331741 5.65093 1.01715 2730
0 20 62.3853 0.244243 6.17026 0.975975 4856
0 21 60.4838 0.221301 5.57908 0.977289 5118
0 22 66.329 0.238198 4.99239 0.905325 5568
0 23 62.6246 0.231062 5.43841 1.21293 5297
0 24 66.6132 0.200413 5.95855 0.790061 7338
0 25 60.6151 0.320755 5.24421 1.23485 2538
0 26 62.093 0.157153 5.48752 1.51749 10622
0 27 62.4053 0.252297 5.50321 0.854992 4147
0 28 62.0432 0.250261 5.25452 1.32357 3914
0 29 62.0854 0.222193 5.93045 1.29531 5995
0 30 62.6146 0.243729 5.92886 1.1939 4748
0 31 65.8264 0.32989 6.2273 0.980035 2816
0 32 61.4892 0.232082 5.18705 1.33652 4626
0 33 62.102 0.22875 5.3283 1.12499 5165
0 34 62.5326 0.163425 5.73323 1.12996 10460
0 35 60.2171 0.304344 5.40569 1.41027 2711
0 36 62.2257 0.224058 6.928 1.36127 5587
0 37 0 0 0 0 0
0 38 59.0327 0.283486 5.07095 0.84448 3353
0 39 59.5227 0.153125 5.22453 1.09858 10112
0 40 61.3171 0.233669 6.66531 1.09052 5677
0 41 61.8249 0.236728 5.24463 1.18371 4593
0 42 62.3446 0.224782 5.73735 1.33577 5576
0 43 61.6953 0.178572 5.57131 1.22625 7962
0 44 60.8506 0.225607 5.6259 1.23992 5123
0 45 59.9737 0.226602 5.48446 0.971955 4865
0 46 61.7906 0.148788 5.69746 1.06186 12491
0 47 65.4566 0.235789 5.44486 1.10812 5460
0 48 62.2558 0.227094 5.58502 1.05268 5590
0 49 61.5213 0.206487 5.83553 1.25176 6729
0 50 65.6024 0.228394 6.51578 1.12636 5604
0 51 61.6295 0.148784 5.54915 1.27194 11776
0 52 62.8375 0.198337 5.68568 1.09055 7665
0 53 65.2079 0.190012 5.8183 1.38676 8484
0 54 65.5765 0.215984 6.09211 1.44616 6234
0 55 61.6421 0.181984 5.90826 1.35764 7969
0 56 59.0966 0.154368 5.49642 1.31138 10536
0 57 59.8368 0.150477 5.28337 1.15777 10866
0 58 62.3003 0.205904 5.28736 1.11095 6680
0 59 61.8994 0.150821 5.74798 1.60083 12009
0 60 60.8346 0.176315 5.68209 1.26808 8987
0 61 60.9604 0.132749 5.62192 0.995583 15427
0 62 61.327 0.151981 5.65132 1.36658 11912
0 63 62.2225 0.200826 5.99058 0.749159 7222
1 0 62.5717 0.14218 5.8609 1.49868 12907
1 1 62.6541 0.143666 5.67872 1.46503 12525
1 2 62.6631 0.14845 5.56208 1.53243 13017
1 3 66.1277 0.197671 6.1637 1.01253 7566
1 4 63.5212 0.214917 6.26013 1.20885 6696
1 5 63.2259 0.191037 5.20364 1.57972 7927
1 6 63.4049 0.154943 5.67888 1.29938 12013
1 7 65.6043 0.157618 5.87377 1.22557 12400
1 8 62.9612 0.195672 5.87798 1.36219 7887
1 9 63.3949 0.154364 5.69577 1.45558 12242
1 10 65.1873 0.149491 5.9894 1.14847 14282
1 11 61.6267 0.203679 5.4977 1.3131 7425
1 12 66.0102 0.21208 5.98604 1.14949 7448
1 13 66.0454 0.191093 6.19093 1.17484 8883
1 14 62.3317 0.185857 5.71486 0.93558 9062
1 15 65.7673 0.218138 5.73309 1.11113 6760
1 16 65.1856 0.136607 5.84149 1.20374 16488
1 17 62.1895 0.202168 7.32066 1.92627 7476
1 18 61.6983 0.217983 5.86436 1.58289 6599
1 19 64.603 0.160488 5.6913 1.37069 11722
1 20 64.9167 0.221185 6.54278 1.5752 6694
1 21 65.1331 0.162085 6.08673 0.762548 12087
1 22 65.8655 0.174904 5.94947 1.21283 9759
1 23 65.4712 0.212042 6.12443 1.44125 7526
1 24 64.7415 0.185101 5.82098 1.29773 8186
1 25 65.1864 0.15254 6.15201 1.29784 13159
1 26 61.6714 0.187057 7.20217 2.17677 8436
1 27 61.4018 0.206399 5.91804 1.46719 6876
1 28 65.3592 0.192282 5.73378 1.43283 9195
1 29 62.1739 0.19912 6.03731 1.24064 7613
1 30 64.5026 0.221402 6.25136 1.46577 6881
1 31 65.2351 0.162166 5.25178 1.02644 11959
1 32 64.6809 0.185664 5.92785 1.09423 8839
1 33 63.171 0.21425 5.42664 1.05064 6841
1 34 61.5475 0.182613 5.33025 1.16967 8656
1 35 63.7821 0.14718 5.46176 1.30382 14040
1 36 65.0842 0.233413 5.81407 1.30187 6430
1 37 0 0 0 0 0
1 38 64.0932 0.133313 5.62913 1.42116 16749
1 39 64.8535 0.191969 5.5504 1.09647 8136
1 40 62.4097 0.212807 6.00436 1.33631 6373
1 41 0 0 0 0 0
1 42 0 0 0 0 0
1 43 0 0 0 0 0
1 44 0 0 0 0 0
1 45 0 0 0 0 0
1 46 0 0 0 0 0
1 47 0 0 0 0 0
1 48 0 0 0 0 0
1 49 0 0 0 0 0
1 50 0 0 0 0 0
1 51 0 0 0 0 0
1 52 0 0 0 0 0
1 53 0 0 0 0 0
1 54 62.9737 0.162444 5.78869 1.42656 10034
1 55 62.6951 0.174577 5.63066 1.13209 9328
1 56 66.1153 0.202869 5.66553 1.24369 7351
1 57 66.6671 0.192627 5.6179 1.34352 7823
1 58 63.265 0.16914 5.44227 1.18976 8941
1 59 62.0805 0.183607 5.64821 1.01074 8117
1 60 66.2486 0.188576 6.01267 1.08426 8473
1 61 61.8121 0.177452 5.21948 1.14155 8292
1 62 65.5723 0.172031 5.23788 0.991333 9941
1 63 66.1747 0.177945 5.85106 1.08065 9684
2 0 59.54 0.135313 6.86064 3.13114 14526
2 1 59.7643 0.162074 5.36083 1.07359 9458
2 2 58.8493 0.173276 5.25505 0.78789 8515
2 3 57.6258 0.21913 4.97072 1.05319 5719
2 4 59.2787 0.219215 5.75802 1.26222 5501
2 5 0 0 0 0 0
2 6 57.1783 0.182557 5.14112 0.917371 7280
2 7 57.9084 0.309743 4.92971 1.1589 3258
2 8 58.8241 0.192323 5.34264 1.38929 6969
2 9 58.9603 0.190452 5.71167 1.25134 6940
2 10 58.2506 0.199162 5.41727 1.03165 6285
2 11 58.7699 0.213011 5.81583 0.990451 6024
2 12 57.937 0.191916 4.97806 1.3626 6431
2 13 62.5147 0.252282 5.47208 1.37536 4502
2 14 58.3438 0.136328 5.48747 1.25131 12850
2 15 0 0 0 0 0
2 16 62.2916 0.261627 5.63972 1.28281 3805
2 17 58.9454 0.200042 5.18571 1.16292 7176
2 18 59.1021 0.225722 6.86473 1.79132 5324
2 19 58.3829 0.310626 4.81533 1.04236 2932
2 20 59.0784 0.206753 5.26419 1.20598 6055
2 21 58.4143 0.182169 5.52266 0.998806 7342
2 22 58.6297 0.218488 5.30038 0.98749 5412
2 23 59.2486 0.193808 5.68569 1.03147 6999
2 24 59.9158 0.177548 5.44437 1.06501 8335
2 25 57.2013 0.281382 5.28263 0.986795 3037
2 26 63.0446 0.152952 5.76612 1.18699 12021
2 27 59.3753 0.236278 6.95017 1.55199 4954
2 28 58.3153 0.22598 5.30666 1.3072 4684
2 29 59.0447 0.182865 5.59761 0.84515 8058
2 30 59.4718 0.208885 5.35062 0.989269 5781
2 31 62.819 0.335619 6.57242 0.735671 3105
2 32 57.6122 0.233012 5.10648 1.13597 4796
2 33 60.1421 0.216238 5.43364 1.05661 5416
2 34 63.0042 0.14285 5.91171 1.32543 13850
2 35 57.8675 0.284923 5.48569 0.973982 2980
2 36 59.3964 0.226126 6.29868 1.39705 5852
2 37 0 0 0 0 0
2 38 58.1936 0.280323 5.33025 1.28464 3839
2 39 62.5943 0.164794 5.5602 0.879762 9817
2 40 58.9161 0.210872 5.94521 1.22382 6080
2 41 58.3134 0.236139 5.58986 0.935828 4384
2 42 59.065 0.212059 5.6728 1.03154 5827
2 43 59.2487 0.17547 5.83902 1.28221 8349
2 44 62.3892 0.221587 5.83915 1.04606 5800
2 45 58.7807 0.228413 5.65674 1.06545 5037
2 46 62.7973 0.141966 5.15404 1.54248 14180
2 47 0 0 0 0 0
2 48 59.8887 0.207368 5.28081 1.56983 5634
2 49 60.0932 0.189668 5.25139 1.31566 6762
2 50 59.7629 0.205854 5.64783 1.14653 6043
2 51 62.8204 0.151415 5.54093 1.05227 11803
2 52 59.9514 0.185631 5.29587 1.03379 7554
2 53 58.7101 0.169284 5.02523 1.19765 8380
2 54 59.9196 0.196936 5.7833 1.20951 6657
2 55 60.3008 0.173113 5.2983 1.0421 8897
2 56 58.4959 0.15932 4.90382 1.1691 9248
2 57 58.6367 0.144184 5.04262 0.963684 11232
2 58 62.6103 0.201828 5.29691 1.13999 7173
2 59 59.7936 0.140795 5.38578 1.19525 12589
2 60 62.6439 0.166919 5.09823 0.940441 9211
2 61 57.8636 0.116122 5.04892 1.28962 17209
2 62 0 0 0 0 0
2 63 59.4241 0.18802 5.40181 0.910612 7406
3 0 65.2256 0.144361 5.56063 1.22429 12810
3 1 65.7665 0.15248 6.01105 1.75326 12456
3 2 64.3171 0.155715 5.56705 1.12203 12028
3 3 66.9165 0.199756 6.21985 0.897985 8120
3 4 66.27 0.212321 6.33902 1.44657 6744
3 5 66.5304 0.196222 5.98387 1.30422 7875
3 6 69.1867 0.1729 5.88381 1.01772 10825
3 7 63.9231 0.150007 7.40575 2.39831 13947
3 8 65.5467 0.191689 6.06287 1.04006 8304
3 9 64.9622 0.160705 5.26141 1.911 11336
3 10 68.4169 0.154286 6.14271 1.15499 14162
3 11 65.951 0.202193 5.93236 0.957572 7235
3 12 65.7376 0.190233 5.80895 1.2268 7642
3 13 65.9517 0.18517 6.39188 1.48993 8891
3 14 64.5224 0.172608 5.77965 1.24275 10025
3 15 66.654 0.214791 6.08768 1.11338 6871
3 16 66.1802 0.12447 5.52549 1.38547 19021
3 17 66.1855 0.209673 6.65193 1.26233 7432
3 18 66.6385 0.21909 6.01361 1.26483 6637
3 19 67.7933 0.165241 6.34709 1.14632 12168
3 20 63.8133 0.215611 6.27914 1.47531 6717
3 21 65.5041 0.164077 6.10448 1.28209 10767
3 22 66.2246 0.166438 6.13925 1.10485 10391
3 23 65.2555 0.193428 5.36566 1.02961 7737
3 24 0 0 0 0 0
3 25 65.5181 0.148994 7.12683 2.11034 12904
3 26 66.0798 0.187757 6.12043 0.847033 8815
3 27 65.6694 0.206467 6.22232 1.15337 7370
3 28 66.2235 0.173403 6.09251 1.45797 9700
3 29 65.5942 0.192874 5.96214 1.19304 7788
3 30 70.5506 0.234035 7.39343 1.0357 7152
3 31 66.2881 0.152513 5.4944 1.30492 13199
3 32 65.5281 0.181348 5.93072 1.23798 9155
3 33 65.4918 0.203706 6.2994 1.77624 6956
3 34 64.8411 0.178397 5.86621 1.1685 9307
3 35 66.5848 0.162181 5.82973 1.37092 11751
3 36 66.0774 0.21776 6.51884 1.32603 6627
3 37 0 0 0 0 0
3 38 65.5847 0.150502 5.73027 1.28015 13084
3 39 67.7235 0.190822 5.77396 1.30125 8858
3 40 0 0 0 0 0
3 41 66.3659 0.184302 5.93964 1.46109 8610
3 42 66.3447 0.210017 5.56552 1.25901 6549
3 43 65.5827 0.190651 5.67713 1.34233 7793
3 44 68.6516 0.17779 6.05428 1.38206 9835
3 45 66.6608 0.214227 6.01735 1.29973 6598
3 46 64.4237 0.172545 5.21453 1.35933 9429
3 47 68.5109 0.142377 5.9443 1.1131 15841
3 48 66.6372 0.221889 5.98301 1.21986 6416
3 49 65.533 0.205359 5.93883 1.34989 6786
3 50 66.5253 0.19729 5.73692 0.935262 7602
3 51 65.5111 0.179079 5.68885 1.04088 9400
3 52 64.6003 0.199444 5.37897 1.31087 6941
3 53 66.4839 0.162367 6.06132 0.95382 11438
3 54 66.3477 0.204869 6.03393 1.20269 7371
3 55 64.7311 0.194042 5.76629 1.23063 7831
3 56 65.687 0.185179 6.0957 1.32895 8377
3 57 64.6074 0.179435 5.88796 0.92321 9271
3 58 64.9113 0.212705 5.80949 1.29188 7251
3 59 63.8976 0.18098 5.60103 1.55907 8534
3 60 63.3119 0.184371 5.55133 1.16138 8674
3 61 64.8733 0.164094 5.64026 1.2232 10764
3 62 63.4712 0.183234 5.88598 1.40424 8974
3 63 64.9922 0.187365 5.76094 1.41311 8069
4 0 62.3942 0.129774 5.51241 1.56899 15637
4 1 63.2585 0.159537 5.30613 1.33552 11474
4 2 62.9138 0.160862 5.51739 1.52709 10366
4 3 64.4498 0.20872 5.77098 1.1604 6453
4 4 63.3618 0.21656 5.45615 1.14849 6242
4 5 63.4958 0.202419 5.91379 1.02237 7391
4 6 62.3402 0.181586 6.0689 1.37235 8831
4 7 61.421 0.267459 5.63191 1.10607 3793
4 8 59.5163 0.182659 5.31268 1.19441 7588
4 9 62.4585 0.173233 5.43627 1.15333 8972
4 10 61.1981 0.181006 5.2263 1.17647 8108
4 11 62.2308 0.197664 5.49281 1.41478 7384
4 12 0 0 0 0 0
4 13 63.2106 0.229342 5.84966 1.06294 5119
4 14 63.8294 0.152823 5.84742 0.845432 12744
4 15 63.4217 0.220924 5.20272 1.34141 5611
4 16 65.3874 0.264531 5.94357 1.387 4819
4 17 63.2077 0.180894 5.36296 1.12541 8500
4 18 67.5775 0.235092 6.50449 1.16995 6718
4 19 62.4111 0.29218 5.07999 1.24546 3421
4 20 63.8874 0.225782 5.57185 1.47122 6148
4 21 62.5439 0.168598 5.42013 0.885694 9906
4 22 63.7751 0.2207 5.7936 1.00245 5927
4 23 63.1553 0.202255 5.51512 1.13898 6924
4 24 63.8313 0.179745 5.32146 1.33441 8951
4 25 67.2785 0.334406 5.66923 0.889331 3325
4 26 63.4503 0.143168 5.34222 1.26362 12957
4 27 64.0125 0.226407 5.47333 1.26772 5403
4 28 64.4033 0.240093 5.83728 1.32858 4898
4 29 64.1421 0.191269 5.89725 1.45116 8264
4 30 63.607 0.21663 5.365 1.46691 6035
4 31 62.3564 0.311413 5.4314 1.04992 2813
4 32 63.2664 0.246562 5.72462 1.31108 4329
4 33 63.7556 0.251186 5.64657 1.22096 4818
4 34 62.779 0.151523 5.9585 1.49426 12453
4 35 67.0518 0.350612 5.28361 1.25648 3408
4 36 63.5055 0.235472 5.65332 0.980933 5556
4 37 0 0 0 0 0
4 38 62.3313 0.300117 4.63317 0.915337 3560
4 39 63.2758 0.210968 6.0198 1.15935 7065
4 40 63.3091 0.25344 6.8856 1.19069 5430
4 41 62.8718 0.249692 6.83285 2.02439 4463
4 42 63.5974 0.227869 5.59246 1.04092 5845
4 43 64.7542 0.200907 5.77933 1.36195 7451
4 44 63.4562 0.213523 5.28327 0.95776 6021
4 45 63.9246 0.246861 6.0642 1.50099 4730
4 46 64.1867 0.153975 5.47347 1.30875 11559
4 47 61.9201 0.299368 5.14639 1.4241 3556
4 48 63.9027 0.233774 5.96738 1.06657 5470
4 49 64.1311 0.217525 6.10268 1.23646 6397
4 50 63.0099 0.216482 5.96609 1.05688 6347
4 51 62.5894 0.175869 5.63124 1.13157 9108
4 52 63.2211 0.204088 5.76687 1.44018 7551
4 53 62.1505 0.220673 5.33283 1.34497 5572
4 54 63.3759 0.202867 5.30656 1.45782 7162
4 55 63.2463 0.179416 5.88604 1.09102 9335
4 56 63.1433 0.207346 5.81126 1.47376 6906
4 57 62.6603 0.185568 5.62738 1.40968 8063
4 58 64.0778 0.206884 5.99313 1.11643 7233
4 59 63.1834 0.155557 6.14586 1.06105 12284
4 60 63.2432 0.218584 5.98868 0.951994 6627
4 61 62.3571 0.139263 5.70466 1.19746 14121
4 62 63.3567 0.143281 5.74662 1.3837 14578
4 63 63.7949 0.183987 5.64947 0.73529 8436
5 0 62.1905 0.164986 5.5478 1.21596 10331
5 1 62.3496 0.17414 5.76489 0.740094 9108
5 2 62.8514 0.173968 5.6907 1.45276 8936
5 3 62.6318 0.182942 5.42335 1.60785 8682
5 4 62.9806 0.213474 5.66316 1.03085 6633
