#mip results dif_1_1_1
#chip channel mpv empv widthmpv chi2ndf nentries
0 0 65.7552 0.152154 4.35266 1.11165 10859
0 1 61.5175 0.182426 4.88988 1.16939 6575
0 2 66.0505 0.201301 5.11311 1.17401 6034
0 3 55.988 0.190521 4.58356 1.01045 5429
0 4 63.8012 0.229181 4.86684 1.18084 4166
0 5 0 0 0 0 0
0 6 61.9591 0.221263 5.04062 1.14319 5091
0 7 62.0677 0.328773 3.7866 1.22291 2654
0 8 60.8165 0.198025 4.36349 0.702769 5417
0 9 61.5491 0.19732 4.81056 1.00132 6026
0 10 66.5021 0.202546 4.90237 1.38077 5845
0 11 62.8043 0.22984 5.51499 1.09948 4841
0 12 60.8857 0.181546 4.58881 1.15671 5982
0 13 63.9479 0.237961 4.38271 1.30937 4267
0 14 62.4918 0.152021 4.54686 1.04424 9807
0 15 65.0946 0.236489 4.97571 0.597016 4276
0 16 46.9158 0.254179 3.10576 0.887893 2975
0 17 63.6465 0.213726 4.61204 0.739393 5210
0 18 62.0842 0.213281 4.08475 0.974165 4637
0 19 63.2063 0.320691 4.54998 0.991001 2181
0 20 67.1606 0.24043 5.41504 0.82948 4217
0 21 0 0 0 0 0
0 22 59.4731 0.193025 4.40421 0.946161 4991
0 23 62.5718 0.2211 4.94606 1.12181 4589
0 24 67.0715 0.20557 5.58112 0.837639 6153
0 25 67.132 0.352232 5.84418 0.883405 2158
0 26 62.8557 0.158564 4.96623 0.882068 8696
0 27 62.4929 0.239726 4.7176 1.06537 3578
0 28 61.3344 0.270172 4.62499 1.25753 3454
0 29 63.291 0.204248 5.23342 0.660789 5487
0 30 63.0748 0.231655 4.72621 0.96402 3938
0 31 63.0682 0.297078 4.21219 1.22333 2230
0 32 63.8685 0.229916 4.94266 0.888472 4108
0 33 62.8251 0.219916 4.7437 0.758921 4237
0 34 62.5508 0.144273 4.60634 1.09502 9451
0 35 60.1667 0.323924 3.46287 1.03853 2045
0 36 63.3247 0.21995 5.00195 1.22779 4711
0 37 0 0 0 0 0
0 38 62.8899 0.291345 5.65027 0.87522 2818
0 39 62.7422 0.158424 4.62287 1.01438 8474
0 40 0 0 0 0 0
0 41 63.4 0.248347 5.16391 0.92406 3523
0 42 64.5896 0.241566 5.17622 1.09844 4275
0 43 64.177 0.197374 6.78407 2.78808 6592
0 44 62.6136 0.226374 5.12666 0.694298 4147
0 45 64.5601 0.239659 5.01588 0.77988 3833
0 46 63.3799 0.137807 4.50451 1.01864 10625
0 47 62.8404 0.23534 5.06064 1.31565 3965
0 48 62.9071 0.237259 4.87247 1.03214 4268
0 49 67.4642 0.223291 5.2598 0.878885 5253
0 50 64.4781 0.222361 5.08907 0.92038 4220
0 51 62.23 0.145111 4.95154 1.42311 9901
0 52 62.4962 0.182119 4.43208 1.31516 5833
0 53 63.9953 0.173082 4.91567 1.16072 7508
0 54 62.6284 0.216349 4.96685 0.927464 4787
0 55 63.3879 0.189306 5.11732 1.30923 6234
0 56 62.6182 0.167374 4.88123 0.714704 7858
0 57 62.6395 0.152886 4.89543 1.12213 9334
0 58 64.657 0.211723 4.25508 1.18276 5333
0 59 62.5695 0.156182 5.04254 0.741616 9277
0 60 61.9203 0.162346 4.76318 1.17005 7876
0 61 61.8831 0.127251 4.43416 1.16129 13206
0 62 61.9765 0.147029 4.56263 1.0027 9741
0 63 63.372 0.194874 4.57429 1.39 5694
1 0 0 0 0 0 0
1 1 0 0 0 0 0
1 2 0 0 0 0 0
1 3 0 0 0 0 0
1 4 0 0 0 0 0
1 5 0 0 0 0 0
1 6 0 0 0 0 0
1 7 0 0 0 0 0
1 8 0 0 0 0 0
1 9 0 0 0 0 0
1 10 0 0 0 0 0
1 11 0 0 0 0 0
1 12 0 0 0 0 0
1 13 0 0 0 0 0
1 14 0 0 0 0 0
1 15 0 0 0 0 0
1 16 0 0 0 0 0
1 17 0 0 0 0 0
1 18 0 0 0 0 0
1 19 0 0 0 0 0
1 20 0 0 0 0 0
1 21 0 0 0 0 0
1 22 0 0 0 0 0
1 23 0 0 0 0 0
1 24 0 0 0 0 0
1 25 0 0 0 0 0
1 26 0 0 0 0 0
1 27 0 0 0 0 0
1 28 0 0 0 0 0
1 29 0 0 0 0 0
1 30 0 0 0 0 0
1 31 0 0 0 0 0
1 32 0 0 0 0 0
1 33 0 0 0 0 0
1 34 0 0 0 0 0
1 35 0 0 0 0 0
1 36 0 0 0 0 0
1 37 0 0 0 0 0
1 38 0 0 0 0 0
1 39 0 0 0 0 0
1 40 0 0 0 0 0
1 41 0 0 0 0 0
1 42 0 0 0 0 0
1 43 0 0 0 0 0
1 44 0 0 0 0 0
1 45 0 0 0 0 0
1 46 0 0 0 0 0
1 47 0 0 0 0 0
1 48 0 0 0 0 0
1 49 0 0 0 0 0
1 50 0 0 0 0 0
1 51 0 0 0 0 0
1 52 0 0 0 0 0
1 53 0 0 0 0 0
1 54 0 0 0 0 0
1 55 0 0 0 0 0
1 56 0 0 0 0 0
1 57 0 0 0 0 0
1 58 0 0 0 0 0
1 59 0 0 0 0 0
1 60 0 0 0 0 0
1 61 0 0 0 0 0
1 62 0 0 0 0 0
1 63 0 0 0 0 0
