#mip results PROTO15
#layer chip channel mpv empv widthmpv chi2ndf nentries
0 1 62 54.7719 1.48002 18.6532 0 1624
0 1 63 54.1837 1.56847 19.1315 0 1696
0 2 0 52.5406 3.2136 16.0546 0 2333
0 2 1 62.9208 1.66046 22.2395 0 1566
0 2 2 58.5682 2.32784 27.3438 0 1669
0 2 3 61.7022 1.73316 19.9354 0 1503
0 2 4 71.8477 2.14868 23.6564 0 1497
0 2 5 70.1056 1.80117 22.1789 0 1457
0 2 6 69.015 1.76243 19.7006 0 1563
0 2 7 61.0856 1.61285 18.5703 0 1642
0 2 8 63.8088 1.85126 22.0394 0 1712
0 2 9 60.174 1.43859 18.7163 0 1655
0 2 10 62.1516 1.67323 18.7596 0 1680
0 2 11 61.6336 1.68898 20.6727 0 1693
0 2 12 67.4071 1.59334 19.2258 0 1433
0 2 13 69.6636 1.72573 19.7286 0 1441
0 2 14 67.8909 1.74149 20.5318 0 1481
0 2 15 67.3114 1.94997 22.8555 0 1416
0 2 16 57.4647 1.47648 18.4745 0 1690
0 2 17 67.4596 1.52498 17.5621 0 1287
0 2 18 71.0676 1.89041 19.9902 0 1452
0 2 19 66.8938 1.59257 18.6863 0 1638
0 2 20 60.6532 2.02988 20.3061 0 1533
0 2 21 69.6795 1.56499 18.789 0 1391
0 2 22 64.6588 1.51578 17.9987 0 1429
0 2 23 67.21 2.57363 28.9149 0 1427
0 2 24 70.2951 1.75727 19.1576 0 1286
0 2 25 67.3192 1.39836 17.3409 0 1459
0 2 26 60.6157 1.76466 18.372 0 1535
0 2 27 65.5052 2.20638 23.0214 0 1477
0 2 28 60.9846 1.74562 18.6848 0 1481
0 2 29 68.5878 1.67284 18.5183 0 1490
0 2 30 69.1388 1.78232 18.9955 0 1426
0 2 31 71.8722 1.7952 20.6608 0 1515
0 2 32 71.6711 1.97278 20.0439 0 1377
0 2 33 64.127 1.90566 20.1431 0 1535
0 2 34 61.9315 1.68735 18.6118 0 1484
0 2 35 63.4425 1.65656 20.1056 0 1570
0 2 36 70.8384 2.40728 25.6502 0 1530
0 2 37 59.8171 1.79958 23.3542 0 1515
0 2 38 66.3779 1.95216 21.1769 0 1686
0 2 39 67.2432 1.81313 17.9169 0 1362
0 2 40 62.964 1.59431 20.1946 0 1428
0 2 41 66.7155 2.02599 21.5393 0 1467
0 2 42 69.9271 1.80078 20.4774 0 1631
0 2 43 66.7563 1.87333 18.9551 0 1422
0 2 44 58.491 1.37227 18.5746 0 1477
0 2 45 67.3758 2.24031 24.7052 0 1480
0 2 46 68.4205 1.87684 21.8112 0 1519
0 2 47 64.7947 1.61037 19.195 0 1452
0 2 48 64.2733 1.92074 20.4237 0 1519
0 2 49 69.6732 1.89769 21.8111 0 1442
0 2 50 66.4103 1.64657 17.8842 0 1316
0 2 51 67.4338 1.76275 17.8784 0 1373
0 2 52 67.7613 2.07667 20.5599 0 1412
0 2 53 60.867 1.56699 19.1513 0 1610
0 2 54 68.1482 1.62934 17.9795 0 1365
0 2 55 60.362 1.61995 18.1163 0 1590
0 2 56 64.3729 1.5428 18.834 0 1514
0 2 57 68.723 1.90594 20.5345 0 1431
0 2 58 64.5349 1.86866 21.465 0 1462
0 2 59 66.9269 1.71311 19.3281 0 1395
0 2 60 65.6688 1.38163 18.0653 0 1358
0 2 61 65.8727 2.00934 23.035 0 1513
0 2 62 60.9566 1.83269 18.4481 0 1397
0 2 63 67.4492 1.61262 20.8536 0 1422
0 3 0 67.9425 1.49307 15.6932 0 1488
0 3 1 67.3774 1.93378 22.6415 0 1435
0 3 2 51.9469 3.48714 26.0778 0 1441
0 3 3 64.0832 1.74442 21.7777 0 1539
0 3 4 68.0911 1.4332 14.9728 0 1506
0 3 5 71.8126 1.69444 19.2015 0 1365
0 3 6 67.0044 2.14021 21.9499 0 1435
0 3 7 64.8734 1.82294 18.833 0 1566
0 3 8 68.5528 1.63254 16.7674 0 1472
0 3 9 68.0791 2.19001 23.6265 0 1554
0 3 10 71.3676 1.59756 18.783 0 1393
0 3 11 70.6741 1.75651 18.2023 0 1503
0 3 12 73.9147 2.03076 23.8228 0 1412
0 3 13 71.2077 1.70161 21.6839 0 1447
0 3 14 75.027 1.92834 20.8445 0 1356
0 3 15 69.9866 1.76707 20.1495 0 1386
0 3 16 61.4827 1.59411 20.8078 0 1526
0 3 17 70.0958 1.72407 17.9308 0 1489
0 3 18 58.6504 1.51751 18.1444 0 1526
0 3 19 74.313 2.0325 21.2262 0 1398
0 3 20 63.7433 1.90745 21.6014 0 1531
0 3 21 77.3591 2.45191 22.6231 0 1392
0 3 22 63.1685 1.64916 21.6991 0 1563
0 3 23 70.3878 1.86832 20.4789 0 1414
0 3 24 64.3816 1.9526 22.7297 0 1532
0 3 25 70.4243 1.59163 20.2319 0 1472
0 3 26 73.5082 1.97003 21.4904 0 1430
