#pedestal results (fit to a gaussian) remove channels/sca with two pedestals peaks from the analysis results_pedestal/gridpoints/Pedestal_dif_1_1_4.txtnew
#chip channel ped0 eped0 widthped0 ped1 eped1 widthped1... ped14 eped14 widhtped14 (all SCA)
0 0 289.787  0.0690598 3.28929 302.757  0.0782163 3.16246 287.652  0.0792846 3.23663 297.614  0.0833135 3.2064 294.39  0.0815563 3.20532 288.686  0.0828621 3.21768 298.52  0.0849505 3.12054 291.625  0.087622 3.19603 292.757  0.0858901 3.14544 296.556  0.0920829 3.09758 295.474  0.0947561 3.10255 296.645  0.0872351 2.90106 290.756  0.10265 3.0575 295.536  0.102811 3.05624 288.727  0.0929903 3.17241 
0 1 303.783  0.0689623 3.27448 307.295  0.0806355 3.41692 292.977  0.0770776 3.18936 301.983  0.0769932 3.15629 296.749  0.0812176 3.10357 294.472  0.0832372 3.11949 300.277  0.0859831 3.10719 294.716  0.0861613 3.07953 297.111  0.0854581 3.13893 301.622  0.0953846 3.27217 294.332  0.0975872 3.25334 305.363  0.0965844 3.30042 295.172  0.101367 3.20203 306.321  0.107303 3.12833 298.069  0.0960018 3.25705 
0 2 294.863  0.0665171 3.22022 304.756  0.0812941 3.34305 283.401  0.0802972 3.35518 305.162  0.0765684 3.14157 293.948  0.0770781 3.09916 291.595  0.0835991 3.12304 295.244  0.0860552 3.23832 299.068  0.0904343 3.2456 298.27  0.0915709 3.16273 294.26  0.0928205 3.22848 291.578  0.0933872 3.26614 292.553  0.100591 3.17024 295.522  0.103866 3.21619 304.911  0.108433 3.23606 288.69  0.0961782 3.26288 
0 3 296.36  0.0618922 2.96625 299.988  0.0739772 3.08777 289.461  0.0729129 2.98021 304.95  0.0736226 2.83649 292.774  0.0747345 2.86898 297.924  0.072964 2.9645 295.993  0.0786321 3.03886 291.028  0.0823085 3.03503 304.227  0.0831729 2.93956 299.436  0.0842012 2.93345 293.14  0.0895893 2.99584 299.922  0.0910513 3.08938 298.383  0.0902286 2.84351 301.189  0.0912308 2.72185 296.594  0.0821368 2.87196 
0 4 299.301  0.0679465 3.24022 305.861  0.0781195 3.1963 288.82  0.0797746 3.23064 299.909  0.0759467 3.1173 303.081  0.0799796 3.19392 301.137  0.0819463 3.14824 301.951  0.0823732 3.11946 297.89  0.0877461 3.21946 298.809  0.0864201 3.14829 299.123  0.0873043 3.09409 295.834  0.0910303 3.00711 295.214  0.0926877 2.96788 299.96  0.0960402 3.04701 296.924  0.103251 3.13213 303.451  0.0952714 3.14069 
0 5 335.817  0.0324078 1.593 351.489  0.0437473 1.85442 332.889  0.0443152 1.77477 358.156  0.0413912 1.68903 313.995  0.0361037 1.50452 351.631  0.0449355 1.73194 357.117  0.045312 1.72498 323.066  0.0416935 1.58883 318.888  0.0446231 1.66965 342.897  0.0469113 1.66669 343.767  0.0472616 1.64038 319.279  0.0497221 1.57066 344.095  0.0491226 1.59686 364.591  0.0582019 1.77295 299.424  0.0441018 1.50433 
0 6 295.766  0.0671351 3.21598 299.725  0.0836628 3.3571 283.761  0.0802234 3.25476 296.616  0.0818013 3.27301 287.819  0.0865491 3.13243 284.728  0.083044 3.22432 291.467  0.0842736 3.23499 294.438  0.0872583 3.29692 300.613  0.0931788 3.22792 297.754  0.0913722 3.14409 289.381  0.0966166 3.24367 293.089  0.0949166 3.14792 290.769  0.101745 3.22047 301.16  0.10694 3.27173 289.993  0.0968633 3.26155 
0 7 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 
0 8 291.744  0.0641873 3.14073 298.052  0.078513 3.224 290.074  0.0817621 3.29556 299.262  0.0785686 3.19598 293.681  0.0782162 3.16038 290.56  0.0844121 3.16077 294.709  0.0866304 3.13607 289.274  0.0880475 3.23105 299.218  0.0900203 3.18574 288.258  0.086644 2.99794 290.59  0.0948594 3.08593 286.644  0.0985646 3.1483 288.679  0.105454 3.27299 298.802  0.107768 3.03178 292.06  0.0925962 3.18444 
0 9 295.691  0.0641717 3.02688 302.682  0.0773034 3.30112 296.228  0.0769242 3.12731 300.671  0.0790313 3.10414 302.48  0.0819609 3.1718 290.014  0.0809771 3.05203 301.712  0.082131 2.96094 296.74  0.0838557 3.13406 296.315  0.0793821 2.8832 297.525  0.0936353 2.94777 294.291  0.0936613 3.07749 294.112  0.0948907 3.17843 296.297  0.0929086 2.91707 297.053  0.102868 3.04414 294.876  0.084882 2.83021 
0 10 295.008  0.0639006 3.12453 302.352  0.0778037 3.11705 287.653  0.0768656 2.97702 296.743  0.0736944 2.91021 285.932  0.074474 2.9442 289.393  0.0824601 3.1096 292.828  0.0820969 3.01897 295.889  0.0804474 2.94071 294.92  0.0822891 3.06977 289.21  0.0882368 3.02178 298.215  0.0932968 3.13082 293.226  0.0922234 2.93853 302.825  0.0970412 3.01691 298.828  0.0997521 3.00118 294.584  0.0832076 2.89081 
0 11 294.09  0.0659815 3.16468 300.346  0.0791081 3.33055 283.85  0.0827623 3.31942 294.166  0.0775456 3.16082 288.558  0.0806167 3.20661 294.489  0.0821679 3.27839 290.361  0.0892921 3.33988 299.368  0.0883436 3.18129 298.821  0.0897621 3.23577 295.7  0.096273 3.26806 291.376  0.0956608 3.2078 292.148  0.0978973 3.25982 291.017  0.096114 3.08164 292.087  0.103506 2.97935 291.404  0.0955635 3.06911 
0 12 296.244  0.0653034 3.15879 306.596  0.0785488 3.21525 291.724  0.0754855 2.98244 301.945  0.0732944 3.05686 297.76  0.0798553 3.21248 304.296  0.0829461 3.12602 301.027  0.0850176 3.08831 303.354  0.0877939 3.09526 298.482  0.0914068 3.19409 288.836  0.0872269 3.09475 298.318  0.0947017 2.96908 302.386  0.0917691 3.00388 303.785  0.0976348 3.00417 300.916  0.0984808 2.833 301.983  0.0910169 3.04058 
0 13 294.118  0.0677073 3.19096 308.608  0.0801427 3.19608 293.545  0.0813321 3.32514 303.923  0.0763788 3.13871 298.196  0.0798009 3.19744 298.875  0.0777162 3.0843 298.49  0.0849261 3.26937 300.24  0.0915366 3.25797 298.706  0.0853528 3.03419 301.27  0.09141 3.11277 302.676  0.0979814 3.19439 297.774  0.0967595 3.20897 299.589  0.102873 3.21475 299.777  0.101126 3.13851 303.656  0.0929298 3.1158 
0 14 290.445  0.067596 3.16296 298.312  0.0796661 3.30435 281.948  0.0745604 3.10287 299.629  0.0819523 3.18489 293.843  0.0762993 3.10644 296.689  0.0825581 3.09933 298.121  0.0793012 3.06571 295.507  0.0888289 3.1556 294.711  0.0905311 3.26194 296.951  0.087415 3.10668 292.06  0.0933334 3.15908 304.331  0.098526 3.21272 293.94  0.0992194 3.16873 296.888  0.0996891 3.09747 293.785  0.0913828 3.06512 
0 15 293.414  0.0651847 3.06366 296.787  0.0772047 3.18246 290.219  0.077435 3.11256 298.593  0.0796986 3.13961 293.03  0.0794096 3.18442 295.962  0.079448 3.06146 287.648  0.0863341 3.20888 291.753  0.0857257 3.01705 287.526  0.0928468 3.25162 286.807  0.0862992 2.97839 289.666  0.090329 2.97887 293.81  0.0949784 3.07849 288.467  0.0966359 3.01114 292.585  0.0978533 2.98088 295.405  0.0890232 3.02287 
0 16 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 
0 17 296.365  0.0681389 3.2554 308.252  0.0798504 3.38875 299.501  0.0789272 3.32669 305.346  0.0803174 3.22031 302.719  0.083398 3.26357 309.159  0.0846107 3.24937 299.001  0.0863933 3.22645 295.487  0.0861976 3.26326 299.26  0.0857708 3.15801 303.765  0.0943243 3.23744 303.486  0.0931895 3.25399 296.523  0.100126 3.16435 303.428  0.0989064 3.22177 299.497  0.105881 3.265 302.284  0.0930706 3.19107 
0 18 286.928  0.0640035 3.0633 295.148  0.0741707 3.0921 280.404  0.0727267 2.9774 303.184  0.0725193 2.76784 288.865  0.0768518 2.93633 292.348  0.0763683 2.77499 292.734  0.0807213 2.95457 295.063  0.0783633 2.72165 292.98  0.0818935 3.06744 291.877  0.0862532 2.98452 290.536  0.0883864 2.78741 291.302  0.0952723 3.09135 285.09  0.0966696 3.0582 293.955  0.0992976 2.87943 292.891  0.0866163 2.87514 
0 19 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 
0 20 291.828  0.0616322 3.05084 304.182  0.0749405 3.0727 287.87  0.0730751 3.07262 296.309  0.0748873 2.97384 288.648  0.0740222 2.91665 288.069  0.0755492 3.02092 289.653  0.0802977 2.92462 294.149  0.0805358 2.8184 296.049  0.0813578 2.81612 292.597  0.0870296 2.96699 290.06  0.0859398 2.96174 293.489  0.0893943 2.85878 297.94  0.0921695 2.78748 292.39  0.097405 2.93903 289.287  0.0844314 2.91118 
0 21 296.149  0.0637319 3.12307 306.981  0.0771996 3.1946 296.575  0.0780377 3.13345 297.059  0.0739218 2.95997 292.435  0.0781182 2.9581 292.217  0.0798887 3.04378 293.833  0.0813808 3.09363 298.552  0.0795768 2.9314 306.608  0.0880078 2.89918 292.279  0.0875555 3.0257 296.598  0.0902411 2.9508 294.654  0.0940816 2.88171 294.882  0.0912967 2.79107 310.543  0.105092 3.09425 296.805  0.0892039 3.11593 
0 22 285.879  0.0657681 3.13836 289.013  0.0779521 3.15051 281.191  0.0764278 3.125 291.983  0.0772976 3.05042 288.388  0.0760131 3.00768 291.051  0.0756532 3.04307 284.368  0.0819627 3.01751 285.502  0.08599 3.09189 287.736  0.0867003 3.08141 282.568  0.0904301 3.04528 286.218  0.0892266 3.00377 289.864  0.0919479 3.00073 284.324  0.096905 3.02777 293.544  0.0980408 2.93593 283.139  0.0880266 3.09497 
0 23 295.521  0.0640364 3.04282 305.765  0.0729568 3.11999 285.057  0.0747338 3.12159 304.852  0.0787251 3.15834 280.285  0.0796113 3.01546 299.999  0.077331 3.06271 288.906  0.0819714 3.13152 297.251  0.0839689 2.98364 296.578  0.0828869 2.93661 298.069  0.087606 3.09111 298.058  0.0897312 3.03469 298.64  0.0888698 2.88261 297.96  0.0959695 2.88954 299.121  0.0975397 2.93805 291.611  0.0927719 3.12167 
0 24 297.521  0.0707192 3.44611 312.753  0.0823098 3.37458 302.96  0.0852657 3.38976 307.809  0.0825573 3.24918 295.724  0.0814644 3.23639 300.03  0.0857645 3.29491 300.547  0.0890686 3.40238 299.757  0.0927018 3.31957 301.021  0.0930197 3.32179 308.361  0.0915449 3.25344 308.021  0.0983132 3.27246 302.978  0.0944031 3.14531 305.79  0.103868 3.24619 311.4  0.109981 3.06057 305.498  0.0952831 3.33207 
0 25 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 
0 26 296.407  0.0664051 3.30144 302.29  0.080372 3.27331 289.286  0.0807107 3.37699 307.41  0.080751 3.34701 289.392  0.0816622 3.12892 302.868  0.0838277 3.20875 295.508  0.0839064 3.26301 293.14  0.0883087 3.17768 300.982  0.0953344 3.30451 298.722  0.0959995 3.29592 298.128  0.0926566 3.14527 300.814  0.0967334 3.17993 289.946  0.108706 3.33658 296.436  0.109728 3.37524 301.048  0.0924467 3.16377 
0 27 286.173  0.0610056 2.92938 299.68  0.0717328 2.99273 287.358  0.0692983 2.85378 290.904  0.0703177 2.7459 288.463  0.069495 2.84761 288.155  0.0753158 2.84908 286.809  0.0762172 2.87403 293.972  0.0760446 2.76337 292.285  0.0802407 2.82981 281.064  0.0818433 2.79517 284.432  0.0843689 2.89282 293.43  0.0886288 2.86589 286.427  0.0893523 2.86142 288.288  0.0916706 2.73227 292.341  0.0830668 2.89986 
0 28 293.419  0.0625379 2.97023 303.507  0.0770072 3.07677 289.523  0.0725933 2.93358 301.163  0.0757551 2.97181 289.051  0.0764939 3.13813 294.149  0.0766217 2.94151 292.339  0.0770553 2.89788 282.975  0.0771313 2.96991 286.679  0.0835986 2.94712 291.974  0.0852977 2.85019 291.547  0.0889919 2.99381 293.434  0.0935972 2.99025 286.456  0.0893661 2.86265 301.195  0.101748 3.11841 289.441  0.0863037 2.96409 
0 29 296.957  0.0648217 3.15283 299.631  0.0790216 3.38477 297.492  0.0810452 3.39572 300.572  0.0804633 3.3313 293.692  0.0843498 3.28105 292.536  0.0850759 3.35502 300.352  0.0888887 3.30128 286.834  0.0943194 3.165 294.034  0.0943296 3.29589 294.932  0.0907482 3.1313 293.194  0.092131 3.03492 292.138  0.0932153 3.07984 297.54  0.101014 3.0897 297.126  0.103552 3.09543 295.43  0.0971697 3.22033 
0 30 283.717  0.062535 2.93872 294.131  0.0735422 3.12184 289.39  0.0744483 3.00038 299.234  0.0741249 2.83778 294.614  0.0760471 2.99614 290.943  0.0794743 3.09621 293.646  0.0785867 2.93818 294.674  0.0818313 2.94482 291.451  0.0810772 2.87065 298.05  0.0886437 3.08376 291.106  0.0904801 2.98186 293.359  0.0862841 2.87267 290.538  0.0901984 2.85787 297.733  0.100938 2.9952 290.829  0.0884977 2.99807 
0 31 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 
0 32 282.403  0.061701 2.9688 303.433  0.0750721 3.1625 293.913  0.0744976 3.1188 288.381  0.0729388 2.90606 289.267  0.0729193 2.90696 294.487  0.0778237 2.99814 293.303  0.0754168 2.86677 286.859  0.0820963 2.94899 292.433  0.0835448 2.93697 287.314  0.0894022 3.03377 289.428  0.0857128 2.75249 290.852  0.0884662 3.02042 288.721  0.0938918 2.93975 296.981  0.101507 2.92287 290.825  0.0859889 2.94109 
