#pedestal results (fit to a gaussian) remove channels/sca with two pedestals peaks from the analysis results_pedestal/gridpoints/Pedestal_dif_1_1_3.txtnew
#chip channel ped0 eped0 widthped0 ped1 eped1 widthped1... ped14 eped14 widhtped14 (all SCA)
0 0 303.848  0.0631869 3.10745 309.707  0.0729289 3.0058 297.174  0.0729738 3.01365 306.064  0.0734167 2.89485 293.59  0.0769757 3.02184 308.921  0.0797142 2.93636 305.623  0.0819976 3.08308 302.073  0.0847769 3.18672 300.413  0.0830491 2.91305 303.951  0.0909727 3.09155 299.413  0.0887224 2.98519 307.196  0.0952716 3.06371 305.648  0.094498 2.99153 309.978  0.0905738 2.75454 301.961  0.0897123 3.10522 
0 1 295.129  0.0623733 3.08847 305.173  0.0715381 3.11495 289.36  0.0726553 2.99216 307.106  0.0727243 2.94239 303.469  0.0752211 2.96508 294.266  0.0794263 3.05163 304.487  0.0784937 2.99458 297.152  0.0807393 2.95284 296.955  0.0858331 3.11416 290.512  0.0914666 3.00262 300.154  0.0905914 2.92227 297.646  0.0900614 2.94834 304.672  0.0890679 2.86892 299.891  0.0912224 2.93064 298.99  0.0897788 2.94583 
0 2 298.487  0.0587617 2.89329 315.546  0.0726958 3.05054 304.576  0.0734234 3.00373 306.226  0.0711483 2.8147 300.206  0.0717277 2.75511 306.659  0.0760993 2.94743 306.638  0.0748419 2.90572 296.856  0.080491 2.86133 299.142  0.0820641 2.88872 309.145  0.0835947 2.8975 299.923  0.0885774 2.83293 298.184  0.089629 2.83735 305.736  0.0997408 3.02751 306.652  0.095834 2.90758 302.828  0.0858895 2.87765 
0 3 297.018  0.0603915 2.89752 314.351  0.0681679 2.8885 300.541  0.0683103 2.88382 306.179  0.0708706 2.83468 293.325  0.0700923 2.84532 301.733  0.0720384 2.84332 303.274  0.0714465 2.70839 301.404  0.0789761 2.75042 302.659  0.0797376 2.88563 303.115  0.0867969 2.88994 299.689  0.0790839 2.5716 296.391  0.0875256 2.89667 302.759  0.0934631 2.83727 300.574  0.0907745 2.84753 301.846  0.083858 2.88567 
0 4 292.17  0.0620719 2.95636 307.646  0.0679636 2.90438 289.363  0.069074 2.89268 301.77  0.0717605 2.81198 292.04  0.0738828 2.83726 298.805  0.0755652 2.82901 298.843  0.0757393 2.82065 294.286  0.0814896 2.76742 304.324  0.0796335 2.76128 287.334  0.0827712 2.87469 294.459  0.0870682 2.95928 299.169  0.0831804 2.69671 301.491  0.0886641 2.78689 298.3  0.0963996 2.89495 293.623  0.0834855 2.8441 
0 5 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 
0 6 299.765  0.0643562 3.0504 313.358  0.0766722 3.13116 298.736  0.0745164 3.04155 311.277  0.0769596 3.03817 305.15  0.0758325 2.97268 302.065  0.0735452 2.96658 304.595  0.0797051 2.9436 299.273  0.0832936 3.02638 300.665  0.0854153 3.00517 298.034  0.0878406 2.90767 306.377  0.0901461 3.02899 299.203  0.0946613 2.94658 306.674  0.0954982 2.81453 310.933  0.103151 3.08047 295.207  0.0917771 3.0581 
0 7 297.431  0.0637482 2.97441 307.755  0.0718598 2.98175 302.069  0.0737715 3.07861 306.168  0.0763805 3.07548 307.532  0.0804952 3.1385 304.208  0.079492 2.98877 305.89  0.0775391 2.95902 300.795  0.0811205 2.88558 309.335  0.0835322 2.91226 299.295  0.0830186 2.89684 312.748  0.0890706 2.93958 307.525  0.0890748 2.93829 303.875  0.0961119 2.91484 306.657  0.0945607 2.79335 307.311  0.0852419 2.92777 
0 8 299.766  0.0602484 2.91992 307.808  0.0679992 2.79052 290.662  0.0711367 2.95736 303.712  0.0687372 2.87306 295.671  0.071073 2.77309 301.824  0.073635 2.79373 300.688  0.074727 2.88519 296.667  0.0772714 2.9042 304.008  0.0822714 2.80779 302.522  0.081157 2.85704 293.09  0.0861314 2.82078 296.778  0.0879855 2.88623 301.609  0.0873034 2.81266 306.68  0.0925061 2.7812 294.237  0.0845895 2.79777 
0 9 300.516  0.0615418 2.91346 303.91  0.0728544 3.08576 301.239  0.0753754 3.07186 308.682  0.0700555 2.90703 302.878  0.075657 2.98434 303.176  0.0772456 2.97175 305.022  0.0783409 3.0131 304.496  0.0840942 3.06987 307.76  0.0834791 2.90756 305.241  0.0840674 2.80491 305.649  0.0844823 2.90159 302.331  0.0851909 2.84849 299.092  0.0923445 2.83731 311.226  0.0948754 2.92937 310.157  0.0837947 2.80938 
0 10 294.404  0.0660063 3.04536 317.964  0.0720612 3.02039 295.633  0.0714869 2.91847 304.417  0.0722212 2.96683 298.723  0.0732778 2.91373 308.201  0.0765147 2.95268 295.503  0.0785096 2.94715 298.621  0.0838812 3.05066 298.264  0.0806173 2.88845 301.828  0.0853236 2.94599 302.187  0.091332 3.0547 296.106  0.0938342 3.13274 293.259  0.09587 2.99985 300.529  0.0966157 2.83035 304.352  0.0858575 2.95904 
0 11 300.801  0.0613553 2.94102 305.497  0.0700722 2.91491 293.38  0.0719554 2.99052 305.646  0.0712014 2.91243 295.086  0.0754192 3.06332 299.804  0.0782696 2.99158 296.179  0.0758102 2.91597 294.548  0.0836615 2.9024 294.35  0.0843898 2.95379 300.746  0.0845582 2.91547 303.231  0.0868817 2.94375 299.642  0.0846687 2.72121 309.66  0.0937007 2.95448 303.636  0.098847 2.93329 298.855  0.0911496 2.96605 
0 12 300.691  0.0594045 2.89428 311.253  0.0724703 2.98977 299.717  0.0693455 2.90512 310.028  0.0720777 2.87054 297.849  0.0764554 2.81886 306.545  0.0734345 2.83096 301.853  0.0748647 2.80459 304.896  0.079167 2.91782 301.21  0.0818973 2.83343 304.052  0.0843805 2.81962 308.818  0.0898891 3.02114 294.367  0.0887163 2.93954 299.102  0.0922514 2.82944 311.071  0.0997679 2.96505 307.706  0.0880803 2.97998 
0 13 301.202  0.0610744 2.92553 318.035  0.0718051 3.06459 301.159  0.0732305 2.99907 312.832  0.0746478 3.02586 302.865  0.0728046 2.82634 310.323  0.0778302 2.95529 313.418  0.0733826 2.85494 308.007  0.0815317 2.8868 305.421  0.0811611 2.92318 306.873  0.084656 3.03074 305.323  0.0831312 2.85661 299.369  0.0907636 2.98 304.625  0.0887332 2.8537 310.041  0.0961443 2.71557 306.36  0.082655 2.87143 
0 14 294.672  0.0628029 3.02085 313.707  0.0752239 3.15997 298.968  0.0711018 3.03863 303.853  0.070859 2.91336 293.406  0.0760269 3.00407 305.06  0.0744336 3.00026 295.749  0.0773162 2.91735 295.061  0.0819844 2.91261 302.93  0.0858009 2.90718 297.273  0.0859807 2.83009 297.285  0.088971 3.00024 287.28  0.0903758 2.91687 296.326  0.098343 3.02657 301.118  0.0969773 3.06364 295.083  0.0865911 2.8756 
0 15 292.773  0.0602217 2.78136 301.448  0.0679788 2.82825 290.97  0.0697018 2.83128 300.345  0.0699342 2.91274 298.734  0.0678502 2.78282 293.386  0.0717485 2.67546 296.422  0.0712187 2.80677 296.301  0.0769187 2.79443 300.915  0.0793997 2.75624 299.743  0.0794781 2.72912 296.198  0.0802248 2.71352 289.171  0.0872044 2.78011 290.212  0.0874139 2.62852 294.615  0.0930272 2.76701 293.046  0.0797528 2.74782 
0 16 292.351  0.0657281 3.08889 306.53  0.0774069 3.21083 290.841  0.073532 3.1152 301.379  0.0741679 2.9491 287.712  0.0804626 3.21521 300.971  0.0771549 3.07078 292.307  0.0827383 3.00756 292.954  0.0837105 3.14509 301.944  0.0851 3.08576 296.771  0.088711 3.0168 295.061  0.091306 3.15361 292.041  0.0933411 3.02888 301.389  0.0974522 2.97928 296.706  0.10103 3.03001 299.02  0.086953 3.01611 
0 17 309.211  0.0620893 2.97593 310.525  0.0715677 3.01935 302.538  0.0751055 3.06089 304.649  0.0731646 2.98988 301.734  0.0746535 2.95383 295.568  0.0736624 2.88241 296.556  0.0763767 2.92961 299.817  0.0828102 2.85617 308.559  0.0844423 2.96513 311.226  0.0842253 2.91616 300.366  0.0864043 2.92823 306.928  0.0954646 3.05395 296.837  0.097194 3.03177 303.273  0.0931107 2.86537 302.503  0.0875241 2.99727 
0 18 294.522  0.0586401 2.87579 300.984  0.0714295 2.8794 281.627  0.0662752 2.81305 304.687  0.0691314 2.66793 296.882  0.0737756 2.77136 300.627  0.0734596 2.82824 298.922  0.0715541 2.72016 295.856  0.0797678 2.79223 296.222  0.0795227 2.87497 294.579  0.0810471 2.72845 302.378  0.0828824 2.75204 300.235  0.079672 2.62968 300.309  0.0868711 2.69245 305.626  0.0927947 2.854 291.738  0.0816903 2.75429 
0 19 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 
0 20 301.125  0.0620565 2.84113 311.664  0.070074 2.96795 297.523  0.0685555 2.82333 310.528  0.0689589 2.83266 307.26  0.0739625 2.82572 303.55  0.0708616 2.80925 310.468  0.0768479 2.91005 306.999  0.0811252 2.6729 297.517  0.0804643 2.86429 309.69  0.0801564 2.67394 305.388  0.0857574 2.74431 304.349  0.0841973 2.68092 303.405  0.0901421 2.87351 311.223  0.0938168 2.78905 302.58  0.0855013 2.92041 
0 21 306.223  0.0634521 3.12479 310.201  0.0710916 2.95 294.393  0.072692 2.99597 299.384  0.0733289 2.9963 298.95  0.07473 2.94728 301.039  0.0750841 2.9274 295.311  0.0799976 2.94257 299.071  0.0792854 2.91517 297.595  0.0824763 2.94365 299.885  0.0880588 2.87492 303.432  0.0914534 3.05398 302.334  0.0894839 2.87686 296.707  0.0924844 2.93014 308.535  0.0898372 2.79462 300.671  0.0863386 2.83725 
0 22 291.612  0.0641314 2.99557 303.899  0.0730304 3.12032 290.154  0.0733414 2.9992 295.715  0.0737533 2.9313 294.924  0.077244 3.0332 295.621  0.0742039 2.90008 293.968  0.0819038 2.98183 300.512  0.0829688 2.97532 287.327  0.0860528 3.02964 293.563  0.0845 2.92983 293.321  0.0822942 2.83176 292.21  0.0879985 2.90739 292.12  0.0908754 2.80492 302.983  0.0996619 2.91288 304.898  0.0864493 2.95216 
