#pedestal results (fit to a gaussian) remove channels/sca with two pedestals peaks from the analysis results_pedestal/gridpoints/Pedestal_dif_1_1_2.txtnew
#chip channel ped0 eped0 widthped0 ped1 eped1 widthped1... ped14 eped14 widhtped14 (all SCA)
0 0 319.187  0.0697554 3.36457 326.517  0.0768521 3.14656 315.699  0.075539 3.07012 319.283  0.0830999 3.20351 313.067  0.0811011 3.20403 322.161  0.0847189 3.25756 323.73  0.0842718 3.29991 320.322  0.0900307 3.16647 319.894  0.0944573 3.33927 322.216  0.0918651 3.10419 322.106  0.0972599 3.2983 320.258  0.102129 3.26751 319.459  0.102434 3.23571 319.316  0.107457 3.23199 314.929  0.0945719 3.15579 
0 1 313.939  0.0614331 2.99617 327.597  0.0744434 3.10221 313.445  0.0751357 3.07014 319.498  0.0746958 2.98192 318.418  0.0785958 3.05234 325.668  0.079023 3.0271 315.414  0.0796793 3.00862 312.55  0.0870796 3.11468 315.629  0.0823735 2.96675 311.999  0.0833631 3.02591 311.473  0.0894548 3.02949 317.117  0.0905667 2.96413 320.224  0.096742 3.15094 318.771  0.0933693 2.88731 316.242  0.084734 2.96247 
0 2 318.854  0.0620464 3.11114 329.288  0.074372 3.07627 318.158  0.0775971 3.20125 319.605  0.0764681 3.02077 326.44  0.0783907 2.99775 320.004  0.079106 3.13251 320.245  0.0836565 3.10223 322.482  0.0852114 3.07605 322.807  0.086033 3.13436 319.906  0.0887975 3.16531 326.751  0.0906529 3.04469 321.344  0.101968 3.21184 322.091  0.0948247 2.98373 325.776  0.101751 2.94934 318.532  0.0890007 3.05713 
0 3 316.974  0.0621287 2.88335 318.839  0.0701167 2.91682 314.167  0.0731362 2.89174 316.277  0.0677925 2.79353 313.156  0.0732227 2.82584 320.691  0.0727885 2.74689 316.309  0.0754839 2.81056 315.803  0.0782841 2.90833 318.439  0.0768282 2.83692 313.959  0.0824225 2.82437 314.889  0.0798985 2.73709 319.881  0.0895958 2.95412 313.475  0.082932 2.75797 319.649  0.0935857 2.81246 324.026  0.0843406 2.85992 
0 4 320.654  0.0581717 2.86966 327.63  0.0680237 2.9035 320.314  0.0708063 2.87922 330.064  0.0713734 2.78652 317.183  0.0745647 2.94176 317.336  0.0736193 2.88184 318.735  0.0740365 2.85954 317.128  0.0760068 2.74417 319.451  0.0756162 2.78811 316.878  0.0779767 2.6349 321.706  0.0852679 2.82121 322.672  0.0848941 2.84259 317.654  0.0879009 2.85994 319.711  0.0954415 2.8173 323.433  0.0833138 2.93251 
0 5 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 
0 6 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 
0 7 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 
0 8 320.731  0.0608939 2.98985 329.748  0.0722622 2.95419 314.578  0.0719102 2.96908 327.223  0.078257 2.9482 316.417  0.0812302 3.05415 320.192  0.0771049 2.98716 322.52  0.0786044 2.97646 320.472  0.084375 3.05414 322.979  0.0818159 3.02416 323.688  0.0834705 2.93988 320.919  0.0870984 3.06249 324.591  0.0934338 3.01795 326.411  0.0865275 2.82417 320.689  0.0922036 2.86418 322.237  0.0841644 2.83943 
0 9 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 
0 10 308.759  0.054363 2.6514 323.98  0.0603831 2.57804 304.592  0.0645208 2.57486 320.42  0.0632127 2.46398 311.835  0.0636262 2.46105 319.426  0.0664363 2.54464 313.662  0.0722864 2.58588 318.357  0.0710423 2.51943 318.777  0.0715437 2.52659 316.661  0.0691636 2.43059 312.607  0.0755575 2.54603 319.06  0.0788241 2.63933 315.094  0.0772787 2.55561 324.921  0.0884076 2.52063 316.035  0.0706267 2.57296 
0 11 312.813  0.0604167 2.96459 320.728  0.0688098 2.93162 308.186  0.0709426 2.92991 319.689  0.0679187 2.79115 312.911  0.0774222 2.88064 314.581  0.0753497 2.78626 310.932  0.0815863 2.94262 314.583  0.0781932 2.90965 317.906  0.0830818 2.86641 308.076  0.0886448 2.93788 312.359  0.0849148 2.91282 309.851  0.088507 2.81489 315.361  0.0933477 2.93289 313.505  0.0940845 2.83557 314.742  0.0852382 2.97147 
