#pedestal results (fit to a gaussian) remove channels/sca with two pedestals peaks from the analysis results_pedestal/gridpoints/Pedestal_dif_1_1_1.txtnew
#chip channel ped0 eped0 widthped0 ped1 eped1 widthped1... ped14 eped14 widhtped14 (all SCA)
0 0 289.131  0.0646415 3.17007 294.947  0.0800995 3.19476 280.326  0.0777171 3.24658 299.283  0.0812092 3.24666 281.772  0.0827241 3.14144 291.855  0.0861452 3.27076 289.473  0.0867219 3.16109 294.29  0.0902276 3.28981 290.892  0.0946896 3.25666 287.012  0.0907716 3.15488 289.106  0.0929861 3.09414 297.059  0.09312 3.1041 286.251  0.099466 3.1557 295.533  0.10169 3.01406 286.714  0.0964056 3.04903 
0 1 294.859  0.0647733 3.19333 306.556  0.0760586 3.22779 292.198  0.0737502 3.147 300.003  0.0796613 3.23524 286.25  0.0787909 3.1694 289.562  0.0817822 3.2541 296.27  0.0871903 3.17292 299.365  0.0906193 3.20156 296.864  0.0884964 3.19547 292.217  0.0882517 3.14023 294.551  0.09056 2.95492 299.373  0.0996287 3.2436 299.856  0.100272 3.16143 300.231  0.101478 3.12674 292.868  0.0885223 3.0353 
0 2 286.907  0.06439 3.15752 295.864  0.0746746 3.1603 288.117  0.0711995 3.07167 295.565  0.076055 3.21066 282.191  0.0777928 3.13631 294.468  0.085168 3.14858 292.925  0.0850558 3.15878 290.001  0.080588 3.09676 293.49  0.0878601 3.08281 291.804  0.0883534 3.13598 288.787  0.0903535 3.0262 288.725  0.0898093 2.85618 292.746  0.0990567 3.16704 300.768  0.104531 3.05417 289.024  0.0894467 3.14581 
0 3 293.49  0.0577319 2.8525 299.753  0.070039 2.92133 286.053  0.0709905 2.87076 291.093  0.0673393 2.73526 290.25  0.0708715 2.79666 284.482  0.0748833 2.7524 289.053  0.0784152 2.88392 295.509  0.0734296 2.82254 294.121  0.0837323 2.902 283.496  0.0781203 2.76569 293.914  0.0830685 2.78852 289.929  0.0836274 2.66449 296.494  0.0905704 2.87583 303.418  0.0993299 3.02269 288.046  0.0805262 2.62556 
0 4 286.469  0.0598698 2.91094 293.409  0.0644766 2.79721 280.71  0.0692532 2.90907 288.176  0.0690583 2.75433 284.009  0.0733684 2.79247 289.332  0.0730154 2.83212 283.518  0.077345 2.94361 289.919  0.0803996 2.76763 286.123  0.0815949 2.7889 284.183  0.085139 2.86805 285.313  0.0855291 2.89711 279.466  0.0833473 2.81173 282.088  0.0940989 2.84809 290.474  0.096789 2.66796 283.8  0.0869309 2.77414 
0 5 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 
0 6 284.831  0.0648167 3.0952 298.74  0.0740419 3.13655 289.98  0.0732486 3.10172 294.771  0.0763572 3.05845 294.851  0.0763277 3.10972 292.256  0.0822345 3.04275 285.374  0.0748 2.87554 294.143  0.0782161 3.03493 293.884  0.0826671 2.95509 294.572  0.0872352 2.90664 290.171  0.0871319 2.94234 292.631  0.0923104 3.02791 289.836  0.0930842 2.88688 299.889  0.102023 3.02877 299.417  0.0929913 3.14347 
0 7 289.533  0.0629155 2.99619 293.097  0.0721649 3.0599 290.621  0.0733552 2.99872 290.363  0.0734304 3.00495 291.204  0.0735456 2.91164 290.234  0.0799945 2.96674 299.302  0.0833809 3.0278 295.053  0.0836319 2.96821 291.86  0.0830623 2.97833 287.268  0.0871489 3.02027 292.992  0.0919163 3.05448 291.449  0.0912435 2.94445 294.85  0.0957162 2.83533 302.96  0.0961276 3.02948 299.956  0.0886669 3.12854 
0 8 282.545  0.0588695 2.89858 304.572  0.0740055 3.07827 286.97  0.0699382 3.04527 303.741  0.0778536 3.11682 292.999  0.0742404 3.03175 283.807  0.0817161 3.06724 289.942  0.0821367 3.09684 295.936  0.0788041 3.03474 295.452  0.0819856 2.94956 290.822  0.0827571 2.81253 289.517  0.0851189 2.82871 289.626  0.0895186 2.92929 281.129  0.0929399 2.87627 301.614  0.100238 2.89742 294.833  0.0863471 2.87154 
0 9 292.902  0.0633811 2.98609 310.374  0.0724255 3.02696 285.542  0.069646 2.93766 296.91  0.0722572 2.94922 300.342  0.077697 3.05226 299.398  0.0810131 3.04781 289.924  0.0771481 2.95805 293.399  0.0799521 2.99363 293.941  0.084545 2.94478 297.177  0.0875922 3.01582 292.561  0.0900719 3.02412 296.421  0.0954737 3.02126 300.562  0.0903499 2.7522 297.078  0.0964624 2.83973 295.109  0.0875407 3.01669 
0 10 282.067  0.0631377 3.12413 303.603  0.0737633 2.98699 287.991  0.0691461 3.00519 290.21  0.0750964 3.037 296.245  0.0746212 2.97123 285.399  0.0734906 2.87592 288.933  0.0844958 2.91705 286.95  0.0796933 3.05913 290.14  0.0869696 3.0012 286.858  0.0867072 2.91214 291.283  0.0874322 2.93053 291.398  0.0887814 2.88067 292.578  0.0928015 2.90994 286.586  0.0986221 2.97448 285.152  0.0868661 2.97666 
