#pedestal results (fit to a gaussian) remove channels/sca with two pedestals peaks from the analysis results_pedestal/gridpoints/Pedestal_dif_1_2_1.txtnew
#chip channel ped0 eped0 widthped0 ped1 eped1 widthped1... ped14 eped14 widhtped14 (all SCA)
0 0 277.411  0.0674198 3.11071 292.414  0.0788733 3.13672 274.853  0.0776358 3.03866 278.162  0.0806698 3.1898 278.394  0.0802497 3.07334 276.57  0.08251 3.10439 275.125  0.0821566 3.03531 278.699  0.0807698 2.94693 282.954  0.0832953 3.02608 282.68  0.0839985 2.92392 282.062  0.0886933 3.06643 279.861  0.0893371 3.0323 276.155  0.0930604 2.86119 291.439  0.0963861 2.95536 283.695  0.0875787 2.95746 
0 1 280.781  0.0664664 3.20495 290.607  0.0782007 3.14899 281.13  0.0791997 3.20045 290.546  0.0815694 3.29947 279.718  0.0858965 3.4001 280.286  0.0854997 3.34468 278.106  0.0810376 3.10607 281.976  0.0892899 3.22387 283.901  0.0868805 2.81005 281.312  0.0905978 3.18149 288.058  0.0983929 3.26931 283.916  0.0950014 3.12831 282.894  0.0936408 3.06731 293.065  0.10142 3.13201 289.015  0.0898804 3.16759 
0 2 273.951  0.0633781 3.09636 288.106  0.0774214 3.15632 272.004  0.0761421 3.10558 283.245  0.0802676 3.18876 283.161  0.0826261 3.22632 275.936  0.0854257 3.2558 286.155  0.0855065 3.11063 277.262  0.0847049 3.03755 282.7  0.0861016 3.02978 289.015  0.0852503 3.0585 280.617  0.0956125 3.10231 273.359  0.099049 2.95198 278.293  0.101151 2.98066 285.827  0.098771 3.08691 291.793  0.0896894 3.16313 
0 3 274.041  0.0619932 2.93895 291.032  0.0714923 2.99898 275.411  0.0688477 2.80603 280.948  0.0756429 2.97371 274.567  0.0767767 2.97569 270.377  0.0752935 2.92106 281.372  0.0765718 2.80397 279.584  0.0791633 2.91089 274.425  0.0806122 2.92636 275.698  0.0809611 2.85915 285.129  0.088168 2.87083 275.359  0.090421 2.97236 280.892  0.0879032 2.76196 281.875  0.0936373 2.82865 281.389  0.0800162 2.86643 
0 4 280.443  0.060829 2.92111 293.423  0.0731338 2.87775 277.505  0.0728974 2.92798 288.135  0.0768901 2.99188 284.351  0.0820249 3.05574 280.946  0.0775328 2.8495 285.029  0.0785024 2.85637 277.633  0.0786887 2.86692 284.352  0.0834923 2.91778 281.255  0.0781764 2.70894 290.322  0.087995 3.03769 283.35  0.0920475 2.98937 278.987  0.0913853 2.89094 284.212  0.094604 2.83132 286.397  0.0852645 2.98869 
0 5 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 
0 6 286.72  0.0650394 3.02176 294.871  0.0739889 3.06545 279.018  0.0779623 2.95532 287.875  0.0767538 3.09366 279.961  0.0803396 3.12852 283.269  0.0786841 2.99017 287.484  0.0815711 3.03944 290.969  0.083749 3.12315 286.704  0.0849458 2.99615 285.097  0.0869328 2.90329 281.945  0.0892096 3.04382 293.38  0.0949562 3.02443 284.667  0.0985904 3.00529 290.944  0.0961771 3.06241 293.461  0.088701 3.0367 
0 7 276.204  0.0657529 3.00594 286.762  0.0748185 2.98879 275.511  0.0716926 2.90749 282.821  0.0784935 3.01445 281.958  0.0776409 3.09006 277.211  0.0795003 2.9769 284.375  0.0768089 2.87087 284.044  0.0823491 2.88706 281.837  0.0823021 2.92396 285.759  0.0859531 2.98558 276.772  0.085516 2.8978 285.568  0.0898466 2.95406 282.504  0.0885184 2.81 288.861  0.0976328 2.84763 279.091  0.0845961 2.86063 
0 8 283.674  0.0636533 3.00226 282.702  0.0776469 3.03963 273.488  0.0752078 3.02414 280.952  0.0764092 3.08173 284.799  0.0767624 2.94643 288.207  0.0828662 3.19175 282.58  0.0828175 3.05638 280.749  0.0830257 2.95437 286.954  0.0845386 3.09051 282.396  0.0860918 2.99712 282.838  0.0848618 2.88178 281.499  0.0882633 2.91053 283.278  0.0926138 2.9598 284.652  0.0937644 2.8895 280.242  0.0845041 2.95618 
0 9 274.798  0.0625287 2.97326 294.241  0.0748663 2.9446 278.537  0.074521 2.93995 285.104  0.0774964 2.99465 280.079  0.0758854 3.0417 290.653  0.0807091 3.03103 284.612  0.0794166 2.91516 277.333  0.0861205 3.08943 281.653  0.0824275 2.91452 285.45  0.0887782 3.05325 282.743  0.0863167 2.79046 279.352  0.0873848 2.79776 282.732  0.0917588 2.94078 284.281  0.0947442 2.92497 282.336  0.0860029 3.00094 
0 10 281.176  0.0663035 3.10277 295.714  0.0813937 3.14963 285.309  0.0814934 3.07308 290.127  0.0795239 3.1701 288.446  0.0844827 3.35897 283.867  0.0839527 3.16021 284.779  0.0854083 3.03498 280.389  0.0842431 2.99112 286.975  0.0858043 3.07652 287.515  0.0953271 3.20006 287.062  0.0943848 3.15927 282.609  0.0952789 3.015 282.64  0.0990401 3.06367 287.202  0.0998097 3.00608 286.791  0.0895075 3.04534 
