#pedestal results (fit to a gaussian) remove channels/sca with two pedestals peaks from the analysis results_pedestal/gridpoints/Pedestal_dif_1_1_5.txtnew
#chip channel ped0 eped0 widthped0 ped1 eped1 widthped1... ped14 eped14 widhtped14 (all SCA)
0 14 312.061  0.0655954 3.08051 322.76  0.0778428 3.05914 304.158  0.0769202 3.17511 319.544  0.0784304 3.23811 303.36  0.0851623 3.19185 306.298  0.08327 3.09666 312.105  0.0828555 3.11557 308.913  0.0874051 3.17539 313.5  0.087135 3.00345 310.959  0.0844225 3.02309 308.501  0.0921409 3.04461 307.063  0.0930023 3.09288 315.053  0.10005 3.15137 315.313  0.104943 3.10233 315.943  0.0895153 3.13984 
0 15 315.156  0.0653141 3.0847 326.543  0.0753149 2.95857 308.57  0.0711114 2.88292 313.052  0.0767019 3.06857 319.153  0.0827792 3.15141 313.487  0.0827847 3.0558 316.442  0.0817552 3.01551 308.307  0.0842984 3.00253 309.375  0.0823683 2.90819 311.072  0.0869986 2.89206 320.018  0.0929244 2.91961 313.082  0.092031 3.07546 315.884  0.0952852 2.92689 314.479  0.0973756 2.95284 312.426  0.086974 2.93012 
0 16 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 0  0 0 
0 17 301.75  0.066714 2.90236 324.735  0.0781298 3.08484 311.443  0.0767269 3.06519 317.729  0.0771126 3.06222 316.118  0.0776092 3.10784 318.02  0.0804599 3.12277 311.123  0.0815368 3.07009 315.742  0.0832922 2.98201 312.783  0.0854518 2.99045 305.088  0.0888353 3.11744 309.166  0.0881693 2.94183 309.9  0.0959992 2.98626 312.935  0.0966101 3.08208 316.305  0.105249 3.1854 319.973  0.087712 2.8893 
0 18 309.433  0.0686724 3.06824 323.352  0.0782549 3.01983 306.377  0.077528 3.04907 319.386  0.076124 2.94712 319.797  0.0821022 3.14626 314.431  0.0792741 2.98223 315.862  0.0804175 2.94159 316.264  0.0850019 3.02787 314.319  0.0855198 3.01207 314.649  0.0854581 2.90049 311.497  0.0853794 2.88526 316.793  0.0900408 2.92028 315.116  0.0990109 2.92628 312.51  0.0997511 2.9567 312.809  0.0867579 2.98697 
0 19 308.257  0.0676384 3.16309 318.019  0.0741757 3.04055 302.806  0.0790059 3.00944 311.852  0.0771097 3.11309 314.094  0.0795199 3.13973 314.363  0.0858083 3.23183 318.481  0.0834485 2.99636 306.369  0.0875322 3.09357 315.556  0.0860647 3.02454 312.017  0.086094 3.01563 307.552  0.0903076 2.95376 312.215  0.0953325 3.02975 307.24  0.0996907 3.1598 318.055  0.10007 3.03661 313.975  0.0859674 3.05234 
0 20 303.491  0.0665678 3.07472 316.171  0.0748152 3.09151 308.177  0.0733359 2.91581 317.747  0.0745424 2.98192 317.674  0.0818017 3.21402 312.621  0.0791623 2.94231 311.292  0.0836919 3.0127 306.506  0.080871 2.88378 314.944  0.0845068 2.84849 314.312  0.0860647 2.89904 301.312  0.0950195 3.09233 311.757  0.0934878 2.97689 312.659  0.0926185 2.89817 314.49  0.0981148 2.91441 304.28  0.0878471 2.95347 
0 21 308.274  0.0686865 3.03968 329.837  0.0812629 3.21355 309.686  0.0774141 3.14185 312.503  0.0857762 3.24652 322.544  0.0832617 3.33808 322.497  0.0879976 3.16001 313.948  0.0794747 3.04174 317.772  0.0873079 3.11519 322.616  0.0901615 3.19748 315.212  0.0899018 3.04165 321.789  0.0895531 2.97786 321.904  0.0981265 3.05017 318.067  0.0987903 3.13173 325.394  0.104863 3.08968 319.478  0.0949728 3.25039 
0 22 314.471  0.0634627 2.94056 332.168  0.0771086 3.10734 306.695  0.0775076 3.0616 317.01  0.0740807 3.04472 313.442  0.0832951 3.14275 312.533  0.0857591 3.14505 319.235  0.0822468 3.01126 319.635  0.0885868 2.97427 323.189  0.0852546 2.97747 317.514  0.0830943 2.88197 311.802  0.0876081 2.89833 309.888  0.0916717 3.06029 313.098  0.0958307 3.08512 320.548  0.0975646 2.95689 317.36  0.0891946 3.05615 
0 23 308.845  0.0672041 2.96821 316.03  0.0727975 3.03183 303.825  0.0756056 3.03687 314.247  0.0819494 3.18884 302.63  0.0805924 3.09757 308.422  0.0777528 2.91413 311.495  0.0794352 2.90209 312.824  0.0835247 2.94774 306.799  0.0833431 3.02774 308.858  0.0883298 3.10655 306.261  0.0870259 2.88752 318.073  0.0914651 2.83811 317.58  0.0901502 2.84605 307.939  0.100717 3.08592 324.915  0.0902733 3.08239 
0 24 305.745  0.0674141 3.18435 320.533  0.0813235 3.1586 309.136  0.0794665 3.23764 322.787  0.0809568 3.24442 312.275  0.0884655 3.35819 314.881  0.0861949 3.23305 319.033  0.0813237 3.06005 313.114  0.0909264 3.26125 308.266  0.0895347 3.1966 315.053  0.0934487 3.03256 314.429  0.0933437 3.05654 319.39  0.0901033 2.9173 316.085  0.100527 3.04438 319.723  0.106313 3.18615 314.624  0.0907485 3.08337 
0 25 307.007  0.0644743 3.05244 316.277  0.077424 3.05751 304.67  0.0723733 2.903 306.636  0.0791483 3.18581 308.575  0.0819164 3.10006 306.451  0.0773509 2.91877 314.205  0.0795977 2.91272 321.138  0.0825192 2.94456 314.833  0.0843281 2.93421 307.357  0.0828612 2.76958 311.372  0.0917827 3.00027 312.042  0.0927226 3.10044 312.368  0.093513 2.91443 314.125  0.0977684 2.81606 312.751  0.0868656 2.73323 
0 26 303.876  0.0682171 3.22294 315.27  0.0808389 3.23623 312.967  0.0731031 3.06141 307.867  0.0784772 3.19663 312.255  0.0840262 3.33867 310.157  0.085044 3.21533 316.708  0.0866369 3.11342 313.671  0.086883 3.15615 310.661  0.0891176 3.074 314.877  0.0898933 3.11613 312.036  0.0948118 3.096 319.892  0.0967249 3.14613 311.628  0.0981096 2.99457 315.635  0.101117 2.9321 317.91  0.0894109 3.13399 
